MountainRange,year,yday,dayl..s.,prcp..mm.day.,srad..W.m.2.,swe..kg.m.2.,tmax..deg.c.,tmin..deg.c.,vp..Pa.,Date,Month,MeanNDVI
Marb,2019,138,50112,0,499.2000122,0,25.5,10.5,480,05/18/2019,5,0.106075
Marb,2019,139,50112,0,480,0,25,11,480,05/19/2019,5,0.098809
Marb,2019,140,50112,0,460.7999878,0,23,10,440,05/20/2019,5,0.110244
Marb,2019,141,50112,0,438.3999939,0,22.5,10.5,480,05/21/2019,5,0.118357
Marb,2019,142,50457.60156,0,300.7999878,0,18,10.5,480,05/22/2019,5,0.028228
Marb,2019,143,50457.60156,0,406.3999939,0,19.5,9,400,05/23/2019,5,0.026557
Marb,2019,144,50457.60156,0,464,0,22.5,10,440,05/24/2019,5,0.104746
Marb,2019,156,51148.80078,0,508.7999878,0,38.5,22.5,1040,06/05/2019,6,0.108609
Marb,2019,157,51148.80078,0,435.2000122,0,37.5,25,1240,06/06/2019,6,0.115012
Marb,2019,158,51148.80078,0,521.5999756,0,36.5,20,880,06/07/2019,6,0.105015
Marb,2019,159,51148.80078,0,537.5999756,0,36,18.5,800,06/08/2019,6,0.120782
Marb,2019,160,51494.39844,0,460.7999878,0,34.5,21,960,06/09/2019,6,0.102703
Marb,2019,161,51494.39844,0,512,0,37.5,21,960,06/10/2019,6,0.081198
Marb,2019,162,51494.39844,0,473.6000061,0,37.5,23,1080,06/11/2019,6,0.106395
Marb,2019,170,51494.39844,0,489.6000061,0,37.5,22,1000,06/19/2019,6,0.109952
Marb,2019,171,51494.39844,0,486.3999939,0,38.5,23,1080,06/20/2019,6,0.106986
Marb,2019,172,51494.39844,0,486.3999939,0,37,21.5,1000,06/21/2019,6,0.105554
Marb,2019,173,51494.39844,0,457.6000061,0,34.5,20.5,920,06/22/2019,6,0.112115
Marb,2019,177,51494.39844,0,492.7999878,0,35.5,19.5,880,06/26/2019,6,0.11176
Marb,2019,178,51494.39844,0,473.6000061,0,35.5,20.5,920,06/27/2019,6,0.10329
Marb,2019,179,51494.39844,0,508.7999878,0,37,20,880,06/28/2019,6,0.108741
Marb,2019,180,51494.39844,0,476.7999878,0,37,21.5,1000,06/29/2019,6,0.080393
Marb,2019,192,51148.80078,0,502.3999939,0,41,23.5,1120,07/11/2019,7,0.100699
Marb,2019,193,50803.19922,0,441.6000061,0,41.5,27,1400,07/12/2019,7,NA
Marb,2019,194,50803.19922,0,460.7999878,0,42,26.5,1360,07/13/2019,7,0.101607
Marb,2019,199,50457.60156,0,496,0,39.5,22.5,1040,07/18/2019,7,0.100402
Marb,2019,200,50457.60156,0,502.3999939,0,39.5,22,1000,07/19/2019,7,0.114127
Marb,2019,201,50457.60156,0,502.3999939,0,39.5,22,1000,07/20/2019,7,0.100427
Marb,2019,202,50457.60156,0,515.2000122,0,40.5,22,1000,07/21/2019,7,0.106903
Marb,2019,203,50112,0,425.6000061,0,40,26,1320,07/22/2019,7,0.05947
Marb,2019,204,50112,0,368,0,39.5,28,1480,07/23/2019,7,0.00414
Marb,2019,205,50112,0,384,0,38.5,26.5,1360,07/24/2019,7,0.076006
Marb,2019,213,49420.80078,0,451.2000122,0,39.5,25,1240,08/01/2019,8,0.103137
Marb,2019,214,49420.80078,0,448,0,40.5,26,1320,08/02/2019,8,0.109912
Marb,2019,215,49075.19922,0,457.6000061,0,41,26,1320,08/03/2019,8,0.100546
Marb,2019,219,48729.60156,0,422.3999939,0,38.5,25.5,1280,08/07/2019,8,0.088859
Marb,2019,220,48729.60156,0,460.7999878,0,38.5,24,1160,08/08/2019,8,0.103131
Marb,2019,221,48729.60156,0,470.3999939,0,38.5,23.5,1120,08/09/2019,8,0.110494
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/17/2019,5,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/25/2019,5,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/26/2019,5,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/27/2019,5,NA
Marb,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/28/2019,5,NA
