MountainRange,year,yday,dayl..s.,prcp..mm.day.,srad..W.m.2.,swe..kg.m.2.,tmax..deg.c.,tmin..deg.c.,vp..Pa.,Date,Month,MeanNDVI
Marb,2019,138,49999.6226,0,529.0546,0,25.6632,9.6376,438.5773,05/18/2019,5,0.106075
Marb,2019,139,50085.1157,0,458.4865,0,22.3233,9.8417,445.4072,05/19/2019,5,0.098809
Marb,2019,140,50168.6454,0,467.0683,0,21.5844,8.878,415.731,05/20/2019,5,0.110244
Marb,2019,141,50250.1729,0,409.5302,0,19.8158,9.3362,429.3333,05/21/2019,5,0.118357
Marb,2019,142,50329.6537,8.175,190.2862,0,15.6629,9.6834,450.2059,05/22/2019,5,0.028228
Marb,2019,143,50407.0445,0,417.7429,0,18.0684,7.6548,379.6333,05/23/2019,5,0.026557
Marb,2019,144,50482.2997,0,531.6626,0,24.219,9.1747,424.1312,05/24/2019,5,0.104746
Marb,2019,156,51204.2949,0,532.9181,0,37.4294,20.6881,935.4661,06/05/2019,6,0.108609
Marb,2019,157,51248.2498,0,442.316,0,36.3946,24.0615,1165.554,06/06/2019,6,0.115012
Marb,2019,158,51289.5569,0,527.7479,0,34.8317,18.8048,825.7748,06/07/2019,6,0.105015
Marb,2019,159,51328.1973,0,527.0071,0,32.9697,17.0984,736.9484,06/08/2019,6,0.120782
Marb,2019,160,51364.1321,0,492.999,0,33.1135,18.7709,824.4392,06/09/2019,6,0.102703
Marb,2019,161,51397.3469,0,530.4042,0,36.1396,19.366,857.1616,06/10/2019,6,0.081198
Marb,2019,162,51427.8161,0,536.1083,0,38.7292,21.1436,963.4931,06/11/2019,6,0.106395
Marb,2019,170,51570.5665,0,491.8938,0,36.353,21.1842,966.6149,06/19/2019,6,0.109952
Marb,2019,171,51575.5932,0,492.9304,0,37.2379,21.7655,1003.8787,06/20/2019,6,0.106986
Marb,2019,172,51577.7521,0,462.3288,0,34.1398,20.1994,908.45,06/21/2019,6,0.105554
Marb,2019,173,51577.0421,0,447.1905,0,33.2014,19.8863,887.6445,06/22/2019,6,0.112115
Marb,2019,177,51545.514,0,490.9519,0,34.2219,18.7357,822.1431,06/26/2019,6,0.11176
Marb,2019,178,51530.4905,0,485.6825,0,34.8321,19.6284,872.6688,06/27/2019,6,0.10329
Marb,2019,179,51512.6281,0,497.3247,0,35.1783,19.3506,856.3012,06/28/2019,6,0.108741
Marb,2019,180,51491.939,0,510.5237,0,36.3283,19.6369,872.8235,06/29/2019,6,0.080393
