GO_RangeCode,GO_DataType,GO_OBSERVER1s,GO_WaterSource,GO_Time_HHMM,GO_Time_HHMM_End,GO_DatObsTime,GO_SheepUTM_E,GO_SheepUTM_N,GO_GroupSize,GO_NoLambs,GO_NoMaleLambs,GO_NoFemLambs,GO_NoUnkLambs,GO_NoShtYrlgEwe,GO_NoShtYrlgRam,GO_NoShtYrlgUnkwn,GO_TotNoShtYrlg,GO_TotNoEwe,GO_NoYrlgEwe,GO_NoAdltEwe,GO_NoUnkEwe,GO_TotNoRam,GO_NoYrlgRam,GO_NoAdltRam,GO_NoUnkRam,GO_UnkwSexAge,GO_NoCatI,GO_NoCatII,GO_NoCatIII,GO_NoCatIV,GO_NoLamb0,GO_NoLambHalf,GO_NoLambFull,GO_Comments,GO_UnknownYearling,GO_totalYearling,GO_UnknownAdult,GO_TotalAdults,GO_TotalSexUnkn,GO_TotalAgeUnkn,GO_MarkedMale,GO_MarkedFemale,GO_DG_SpecificSource,GO_DG_Photo#Start,GO_DG_Photo#End,GO_DG_PhotoFolder,KI_DateObsTime,KI_Known_ID,KI_DatObsT_ID,KI_Sex,KI_DG_FirstPhotoTime,KI_DG_LastPhotoTime,KI_DG_SheepDrank,GO_Date
CMPR,Camera,D_Glass,Nopa,12:46,,20190718D_Glass12:46,,,3,0,0,0,0,0,0,0,0,2,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,,0,0,0,3,0,0,0,1,,CentralNopahBackView_20190718_124634,CentralNopahBackView_20190718_125621,03-Feb,20190718D_Glass12:46,BHS_1741,20190718D_Glass12:46BHS_1741,,12:48,12:51,Y,20190718
CMPR,Camera,D_Glass,Nopa,5:26,,20190722D_Glass05:26,,,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,,0,0,0,2,0,0,0,1,,CentralNopahBackView_20190722_052606,CentralNopahBackView_20190722_053349,6,20190722D_Glass05:26,BHS_1740,20190722D_Glass05:26BHS_1740,,5:26,5:33,Y,20190722
CMPR,Camera,D_Glass,Hart,10:50,,20190806D_Glass10:50,,,9,2,0,0,2,0,0,0,0,5,0,5,0,2,0,2,0,0,0,1,0,1,0,0,2,,0,0,0,7,2,0,0,1,Tank,HartMineBossTank_20190806_105016,HartMineBossTank_20190806_110952,1,20190806D_Glass10:50,BHS_1734,20190806D_Glass10:50BHS_1734,,10:50,10:56,Y,20190806
CMPR,Camera,D_Glass,Hart,11:15,,20190806D_Glass11:15,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,,0,0,0,1,0,0,1,0,Tank,HartMineBossTank_20190806_111558,HartMineBossTank_20190806_111846,2,20190806D_Glass11:15,BHS_1728,20190806D_Glass11:15BHS_1728,,11:15,11:18,Y,20190806
CMPR,Camera,D_Glass,Hart,11:18,,20190806D_Glass11:18,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,,0,0,0,1,0,0,1,0,Tank,HartMineBossTank_20190806_111558,HartMineBossTank_20190806,2,20190806D_Glass11:18,BHS_1728,20190806D_Glass11:18BHS_1728,,11:15,11:18,Y,20190806
CMPR,Camera,D_Glass,Hart,10:52,,20190807D_Glass10:52,,,6,0,0,0,0,0,0,0,0,5,0,5,0,1,0,1,0,0,0,0,1,0,0,0,0,,0,0,0,6,0,0,0,1,Tank,HartMineBossTank_20190807_105223,HartMineBossTank_20190807_111721,2,20190807D_Glass10:52,BHS_1733,20190807D_Glass10:52BHS_1733,,10:57,11:02,Y,20190807
CMPR,Camera,D_Glass,Hart,12:05,,20190807D_Glass12:05,,,16,3,0,0,3,0,0,0,0,9,1,8,0,4,0,4,0,0,0,2,0,2,0,0,3,,0,1,0,12,3,0,0,2,Tank,HartMineBossTank_20190807_120506,HartMineBossTank_20190807_130030,2,20190807D_Glass12:05,BHS_1730,20190807D_Glass12:05BHS_1730,,12:12,12:49,Y,20190807
CMPR,Camera,D_Glass,Hart,12:05,,20190807D_Glass12:05,,,16,3,0,0,3,0,0,0,0,9,1,8,0,4,0,4,0,0,0,2,0,2,0,0,3,,0,1,0,12,3,0,0,2,Tank,HartMineBossTank_20190807_120506,HartMineBossTank_20190807_130030,2,20190807D_Glass12:05,BHS_1734,20190807D_Glass12:05BHS_1734,,12:17,12:56,Y,20190807
CMPR,Camera,D_Glass,Hart,11:53,,20190814D_Glass11:53,,,12,3,0,0,3,0,0,0,0,7,0,7,0,2,0,2,0,0,0,0,0,2,0,0,3,,0,0,0,9,3,0,0,1,Tank,HartMineBossTank_20190814_115356,HartMineBossTank_20190814_125921,10,20190814D_Glass11:53,BHS_1733,20190814D_Glass11:53BHS_1733,,12:27,12:38,Y,20190814
CMPR,Camera,A_Evans,KidS,10:51,11:25,20190621A_Evans10:51,,,13,2,0,0,2,0,0,0,0,10,3,7,0,1,1,0,0,0,1,0,0,0,0,1,1,Yearling ram and adult ewe had crooked tails.  Group likely larger with more adult ewes.,0,4,0,7,2,0,0,1,,KidneySpringsDrinkerBox_20190621_105111,KidneySpringsDrinkerBox_20190621_112543,0-1,20190621A_Evans10:51,BHS_1734,20190621A_Evans10:51BHS_1734,F,10:56,11:06,Y,20190621
CMPR,Camera,A_Evans,KidS,12:52,12:57,20190622A_Evans12:52,,,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,0,0,0,1,,KidneySpringsDrinkerBox_20190622_125225,KidneySpringsDrinkerBox_20190622_125707,1,20190622A_Evans12:52,BHS_1734,20190622A_Evans12:52BHS_1734,F,12:52,12:55,Y,20190622
