Latitude: 34.671517  Longitude: -115.825689,,,,,,,,
X & Y on Lambert Conformal Conic: -1389920.78 -699756.44,,,,,,,,
Tile: 11193,,,,,,,,
Elevation: 643 meters,,,,,,,,
All years; all variables; Daymet Software Version 4.0,,,,,,,,
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 ,,,,,,,,
,,,,,,,,
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2019,156,51212.04,0,527.09,0,38.82,21.77,1002.73
2019,157,51256.04,0,408.69,0,38.13,26.58,1364.46
2019,158,51297.39,0,546.44,0,36.88,18.92,831.31
2019,159,51336.07,0,524.7,0,33.31,17.04,732.64
2019,160,51372.04,0,495.09,0,33.95,18.99,834.92
2019,161,51405.29,0,520.27,0,36.61,19.85,884.42
2019,162,51435.79,0,519.98,0,39.71,22.46,1049.29
2019,163,51463.52,0,510.76,0,41.7,24.58,1202.4
2019,164,51488.46,0,537.85,0,40.92,22.22,1032.78
2019,165,51510.59,0,504.66,0,37.78,21.55,989.02
2019,166,51529.91,0,398.27,0,37.67,26,1316.06
2019,167,51546.38,0,508.01,0,38.34,21.71,999.01
2019,168,51560.01,0,448.85,0,36.36,22.86,1076.86
2019,169,51570.78,0,496.92,0,37.35,21.47,983.51
2019,170,51578.69,0,467.99,0,37.28,22.74,1068.29
2019,171,51583.72,0,494.97,0,38.96,22.7,1065.84
2019,172,51585.88,0,434.24,0,35.08,21.82,1006.4
2019,173,51585.17,0,452.79,0,34.97,20.88,946.36
2019,174,51581.58,0,532.89,0,36.35,17.83,772.65
2019,175,51575.13,0,494.08,0,38.3,21.81,1005.99
2019,176,51565.8,0,490.17,0,36.53,20.47,921.19
2019,177,51553.61,0,494.41,0,35.91,19.64,872.17
2019,178,51538.57,0,475.66,0,36.39,21.12,961.09
2019,179,51520.69,0,475.18,0,35.71,20.56,926.51
2019,180,51499.98,0,522.23,0,37.88,19.88,885.78
2019,181,51476.45,0,498.81,0,39.11,22.31,1038.91
2019,182,51450.13,0,465.52,0,39.41,24.25,1177.18
2019,183,51421.02,0,460.16,0,38.33,23.54,1124.71
2019,184,51389.16,0,456.47,0,37.45,22.96,1083.42
2019,185,51354.55,0,462.39,0,36.99,22.33,1040.09
2019,186,51317.24,0,433.72,0,35.96,22.72,1066.58
2019,187,51277.23,0,515.21,0,38.08,20.51,923.64
2019,188,51234.56,0,482.62,0,37.36,21.7,998.51
2019,189,51189.26,0,479.73,0,34.85,19.64,871.78
2019,190,51141.35,0,491.95,0,35.57,19.65,872.38
2019,191,51090.86,0,514.16,0,37.82,20.36,914.74
2019,192,51037.84,0,530.82,0,41.59,22.37,1043.11
2019,193,50982.31,0,453.12,0,40.47,25.76,1296.11
2019,194,50924.31,0,452.9,0,40.45,25.85,1303.47
2019,195,50863.87,0,496.24,0,42.49,25.37,1264.19
2019,196,50801.04,0,461.25,0,40.64,25.51,1275.71
2019,197,50735.84,0,491.02,0,39.54,23.1,1093.17
2019,198,50668.32,0,476.31,0,37.49,22.02,1019.31
2019,199,50598.52,0,505.03,0,37.93,20.88,946.39
2019,200,50526.48,0,482.33,0,37.42,21.57,989.94
2019,201,50452.25,0,493.07,0,37.95,21.46,983.12
2019,202,50375.85,0,513.82,0,39.75,21.68,997.47
2019,203,50297.34,0,432.89,0,39.01,25.1,1242.52
2019,204,50216.76,0,369.11,0,38.3,27.03,1403.81
2019,205,50134.15,3.08,299,0,37.14,24.95,1231.18
2019,206,50049.55,1.34,385.82,0,36.06,24.57,1201.75
2019,207,49963.02,0,446.58,0,38.99,24.88,1225.4
2019,208,49874.59,0,469.5,0,40.81,25.37,1264.07
2019,209,49784.3,0,483.64,0,43.16,26.56,1362.57
2019,210,49692.21,0,456.12,0,41.38,26.52,1359.29
2019,211,49598.36,0,425.54,0,39.4,26.2,1332.07
2019,212,49502.79,0,394.58,0,36.62,24.93,1229.58
2019,213,49405.55,0,468.86,0,39.07,24.06,1163.35
2019,214,49306.67,0,489.85,0,40.74,24.37,1186.09
2019,215,49206.21,0,491.97,0,41.62,24.88,1225.75
2019,216,49104.21,0,468.46,0,40.85,25.39,1265.55
2019,217,49000.7,0,373.64,0,36.37,25.39,1266.02
2019,218,48895.75,0,359.56,0,37.63,27.09,1409.21
2019,219,48789.38,0,406.98,0,37.87,25.69,1290.52
2019,220,48681.64,0,460.52,0,37.8,23.46,1119.41
2019,221,48572.57,0,481.04,0,36.59,21.47,983.4
2019,222,48462.21,0,489.67,0,35.38,20.07,897.34
2019,223,48350.61,0,502.77,0,35.43,19.37,856.71
