year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2019,156,51201.7725,0,528.9633333,0,38.54,21.57833333,992.5708333
2019,157,51245.7125,0,418.5966667,0,37.7625,25.9825,1320.261667
2019,158,51287.00583,0,543.375,0,36.46416667,18.92166667,832.5875
2019,159,51325.63333,0,525.5608333,0,33.33583333,17.18666667,741.9383333
2019,160,51361.55667,0,495.4491667,0,33.89416667,19.06916667,841.6416667
2019,161,51394.76,0,524.0266667,0,36.62416667,19.82916667,884.5991667
2019,162,51425.21917,0,524.8591667,0,39.6025,22.24333333,1036.140833
2019,163,51452.9125,0,513.7875,0,41.42666667,24.345,1186.731667
2019,164,51477.8175,0,536.9558333,0,40.56833333,22.1725,1031.579167
2019,165,51499.91833,0,506.1333333,0,37.55583333,21.43083333,983.3316667
2019,166,51519.20667,0,410.58,0,37.5725,25.55916667,1285.584167
2019,167,51535.6575,0,506.2016667,0,38,21.66833333,998.2066667
2019,168,51549.26833,0,454.0233333,0,36.16166667,22.59583333,1062.715833
2019,169,51560.0225,0,499.3875,0,37.12166667,21.28833333,974.6325
2019,170,51567.92083,0,475.0183333,0,37.11833333,22.40833333,1048.038333
2019,171,51572.94667,0,494.8841667,0,38.61583333,22.55666667,1057.639167
2019,172,51575.105,0,442.725,0,34.96083333,21.4975,991.4691667
2019,173,51574.395,0,453.2816667,0,34.66583333,20.70166667,937.5208333
2019,174,51570.81083,0,534.3083333,0,36.085,17.72666667,768.9691667
2019,175,51564.36667,0,501.2383333,0,38.03666667,21.35416667,978.1475
2019,176,51555.05,0,491.3025,0,36.21166667,20.26916667,910.9766667
2019,177,51542.8775,0,495.3266667,0,35.58,19.445,862.705
2019,178,51527.85917,0,479.3375,0,36.08916667,20.80166667,944.1983333
2019,179,51510.0025,0,481.6425,0,35.66333333,20.33083333,914.5758333
2019,180,51489.32,0,520.4783333,0,37.59416667,19.89416667,888.4808333
2019,181,51465.8225,0,498.315,0,38.89,22.26833333,1036.940833
2019,182,51439.5375,0,470.6291667,0,39.22166667,23.96333333,1159.320833
2019,183,51410.47083,0,464.1033333,0,38.13,23.29416667,1111.431667
2019,184,51378.64917,0,461.1075,0,37.245,22.67583333,1067.001667
2019,185,51344.09,0,467.8691667,0,36.80833333,22.03416667,1024.025833
2019,186,51306.82833,0,443.5266667,0,35.88166667,22.33583333,1045.88
2019,187,51266.875,0,515.5158333,0,37.79416667,20.38166667,917.6883333
2019,188,51224.26167,0,480.6816667,0,37.065,21.62416667,995.5825
2019,189,51179.02167,0,483.4475,0,34.77166667,19.49666667,865.2066667
2019,190,51131.17583,0,494.7491667,0,35.53,19.57916667,870.2575
2019,191,51080.76,0,518.1533333,0,37.80166667,20.2425,909.1075
2019,192,51027.81,0,531.35,0,41.36416667,22.29666667,1039.924167
2019,193,50972.35583,0,453.1966667,0,40.435,25.82083333,1303.2975
2019,194,50914.43167,0,453.2233333,0,40.395,25.86333333,1305.968333
2019,195,50854.07333,0,491.8216667,0,42.265,25.52916667,1279.241667
2019,196,50791.32667,0,463.8066667,0,40.62916667,25.4825,1275.638333
2019,197,50726.21417,0,492.5416667,0,39.52833333,23.10916667,1095.4075
2019,198,50658.7875,0,477.4708333,0,37.3875,21.97166667,1018.143333
2019,199,50589.08083,0,505.6016667,0,37.915,20.9425,952.7233333
2019,200,50517.13833,0,482.5958333,0,37.36,21.6075,993.8016667
2019,201,50443.00333,0,493.6583333,0,37.92416667,21.52083333,988.6758333
2019,202,50366.70667,0,514.39,0,39.6725,21.71333333,1001.008333
2019,203,50288.30167,0,432.1066667,0,38.8525,25.07666667,1242.330833
2019,204,50207.82833,0,369.415,0,38.14666667,26.95416667,1400.1525
2019,205,50125.3275,4.056666667,298.0258333,0,37.02833333,24.99083333,1236.88
2019,206,50040.8425,1.974166667,350.7483333,0,36.13583333,24.5075,1199.190833
2019,207,49954.425,0,449.2825,0,38.93,24.7875,1220.683333
2019,208,49866.11167,0,470.4225,0,40.7575,25.36416667,1266.281667
2019,209,49775.94417,0,483.5041667,0,42.91166667,26.44583333,1354.7675
2019,210,49683.975,0,455.9641667,0,41.285,26.5125,1360.17
2019,211,49590.2475,0,420.7325,0,39.23,26.29583333,1342.6125
2019,212,49494.80167,0,389.9116667,0,36.43333333,24.995,1236.888333
2019,213,49397.68583,0,467.1208333,0,38.95166667,24.13333333,1170.961667
2019,214,49298.93833,0,487.6791667,0,40.58666667,24.44416667,1193.856667
2019,215,49198.61083,0,490.4141667,0,41.4675,24.93666667,1232.0225
2019,216,49096.74083,0,467.405,0,40.7875,25.4925,1276.283333
2019,217,48993.37083,0,389.9525,0,36.92583333,25.39916667,1268.506667
2019,218,48888.555,0,358.1133333,0,37.51416667,27.1025,1412.928333
2019,219,48782.32083,0,409.6783333,0,37.74583333,25.55833333,1282.984167
2019,220,48674.72083,0,463.0866667,0,37.69583333,23.335,1112.473333
2019,221,48565.79333,0,481.5941667,0,36.53333333,21.47083333,985.7083333
2019,222,48455.57917,0,490.565,0,35.35583333,20.07166667,898.6458333
2019,223,48344.12083,0,503.1441667,0,35.39,19.3775,858.6141667
