year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2019,144,50663.056,0,500.426,0,17.244,5.764,356.868
2019,145,50738.042,0,541.252,0,20.908,7.688,379.954
2019,146,50810.75,0,515.07,0,19.054,7.02,365.192
2019,147,50881.156,0,501.74,0,16.532,5.09,341.556
2019,148,50949.196,0,573.68,0,21.028,6.156,339.586
2019,149,51014.836,0,539.01,0,22.964,9.63,437.376
2019,150,51078.046,0,527.704,0,24.822,11.862,512.486
2019,151,51138.778,0,533.914,0,26,12.644,541.484
2019,152,51196.992,0,527.638,0,25.594,12.596,539.766
2019,153,51252.666,0,524.232,0,25.492,12.736,544.978
2019,154,51305.742,0,558.078,0,27.728,13.174,561.856
2019,155,51356.208,0,575.15,0,30.722,14.718,625.45
2019,156,51404.006,0,552.446,0,32.638,17.648,763.6
2019,157,51449.134,0,478.148,0,31.208,19.696,875.592
2019,158,51491.536,0,472.942,0,29.102,18.004,781.968
2019,159,51531.198,0,540.028,0,28.734,14.878,632.242
2019,160,51568.09,0,488.088,0,27.552,15.85,675.814
2019,161,51602.194,0,532.164,0,30.81,16.918,726.624
2019,162,51633.47,0,558.144,0,33.338,17.702,766.232
2019,163,51661.906,0,532.17,0,35.088,20.608,929.636
2019,164,51687.484,0,505.82,0,33.644,20.532,925.018
2019,165,51710.184,0,525.134,0,31.832,17.988,781.202
2019,166,51729.994,0,502.764,0,32.464,19.466,862.252
2019,167,51746.886,0,480.668,0,31.226,19.232,849.02
2019,168,51760.86,0,486.246,0,30.414,18.29,797.246
2019,169,51771.914,0,517.218,0,31.086,17.604,761.288
2019,170,51780.02,0,532.584,0,32.22,17.842,773.528
2019,171,51785.188,0,512.892,0,31.966,18.43,804.652
2019,172,51787.406,0,505.546,0,29.61,16.372,700.672
2019,173,51786.676,0,439.358,0,27.234,16.474,705.28
2019,174,51782.99,0,512.178,0,28.304,14.71,624.972
2019,175,51776.372,0,524.912,0,31.604,17.108,736.032
2019,176,51766.806,0,492.956,0,30.148,17.146,738.186
2019,177,51754.302,0,470.674,0,28.92,16.85,723.456
2019,178,51738.88,0,495.012,0,30.024,16.986,730.136
2019,179,51720.538,0,516.288,0,30.988,16.928,727.202
2019,180,51699.298,0,476.648,0,31.318,18.892,829.66
2019,181,51675.17,0,477.722,0,32.644,20.088,898.472
2019,182,51648.172,0,480.3,0,33.222,20.52,924.144
2019,183,51618.318,0,513.976,0,32.042,17.994,781.484
2019,184,51585.642,0,481.484,0,30.9,18.364,801.054
2019,185,51550.158,0,494.49,0,30.802,17.836,773.35
2019,186,51511.886,0,522.312,0,31.366,17.158,738.622
2019,187,51470.864,0,507.198,0,31.182,17.604,761.276
2019,188,51427.106,0,480.132,0,30.634,18.164,790.41
2019,189,51380.648,0,504.602,0,29.914,16.526,707.636
2019,190,51331.52,0,520.052,0,31.082,16.824,722.134
2019,191,51279.762,0,549.228,0,33.63,17.482,754.978
2019,192,51225.398,0,543.972,0,35.462,19.352,855.536
2019,193,51168.456,0,446.47,0,35.402,23.694,1136.05
2019,194,51108.992,0,436.176,0,35.432,24.118,1167.444
2019,195,51047.03,0,479.218,0,36.262,23.294,1107.382
2019,196,50982.61,0,473.662,0,35.81,23.112,1094.264
2019,197,50915.77,0,484.366,0,35.062,21.968,1016.202
2019,198,50846.554,0,473.402,0,32.742,20.282,910.05
2019,199,50775.004,0,519.586,0,33.418,18.874,828.776
2019,200,50701.158,0,492.32,0,33.044,19.79,880.81
2019,201,50625.064,0,522.376,0,33.54,18.83,826.394
2019,202,50546.75,0,533.412,0,34.59,19.08,840.114
2019,203,50466.286,0,459.678,0,34.152,21.916,1012.92
2019,204,50383.694,0,401.378,0,32.522,22.46,1049.57
2019,205,50299.032,0,390.652,0,31.864,22.268,1036.426
2019,206,50212.332,0,435.52,0,32.072,21.088,959.52
2019,207,50123.652,0,444.154,0,33.056,21.708,999.162
2019,208,50033.034,0,480,0,35.11,22.23,1033.928
2019,209,49940.524,0,481.848,0,36.456,23.362,1112.192
2019,210,49846.158,0,463.17,0,36.57,24.186,1172.826
2019,211,49749.992,0,386.632,0,33.428,23.94,1154.434
2019,212,49652.074,0,349.974,0,30.536,22.326,1040.456
2019,213,49552.44,0,469.078,0,32.954,20.902,947.956
2019,214,49451.144,0,485.954,0,34.59,21.688,998.02
2019,215,49348.228,0,483.026,0,35.742,22.822,1074.096
2019,216,49243.728,0,460.636,0,35.848,23.832,1146.294
2019,217,49137.704,0,484.18,0,36.674,23.62,1130.782
2019,218,49030.192,0,374.212,0,32.716,23.81,1144.934
2019,219,48921.24,24.834,368.94,0,33.122,20.134,901.268
2019,220,48810.888,0,502.468,0,32.08,18.792,824.346
2019,221,48699.178,0,498.754,0,31.734,18.706,819.748
2019,222,48586.156,0,471.42,0,30.76,18.996,835.568
2019,223,48471.858,0,499.226,0,30.566,17.648,763.482
2019,224,48356.338,0,521.336,0,31.842,17.644,763.286
2019,225,48239.62,0,532.286,0,33.77,18.612,814.392
2019,226,48121.762,0,530.704,0,35.892,20.398,916.798
