Latitude: 35.344951  Longitude: -115.07755,,,,,,,,
X & Y on Lambert Conformal Conic: -1312011.82 -641137.82,,,,,,,,
Tile: 11193,,,,,,,,
Elevation: 1477 meters,,,,,,,,
All years; all variables; Daymet Software Version 4.0,,,,,,,,
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 ,,,,,,,,
,,,,,,,,
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2019,144,50666.3,0,491.17,0,16.18,5.32,378.39
2019,145,50741.32,0,538.89,0,19.96,7.23,367.38
2019,146,50814.06,0,521.26,0,18.47,6.51,360.11
2019,147,50884.5,0,498.62,0,15.79,4.74,358.23
2019,148,50952.57,0,577,0,20.23,5.63,326.48
2019,149,51018.24,0,544.53,0,22.22,9.02,418.51
2019,150,51081.48,0,527.97,0,23.89,11.31,492.75
2019,151,51142.24,0,532.46,0,25.17,12.29,528.21
2019,152,51200.48,0,530.86,0,24.88,12.15,522.92
2019,153,51256.18,0,527.06,0,24.81,12.32,529.29
2019,154,51309.28,0,560.89,0,27.03,12.79,546.93
2019,155,51359.77,0,579.88,0,30.04,14.26,605.82
2019,156,51407.59,0,555.91,0,31.93,17.24,742.82
2019,157,51452.74,0,485.4,0,30.46,19.05,838.43
2019,158,51495.16,0,473.79,0,28.39,17.61,761.26
2019,159,51534.84,0,545.57,0,28.07,14.41,612.01
2019,160,51571.75,0,494.82,0,26.87,15.29,650.2
2019,161,51605.87,0,533.76,0,29.96,16.47,704.73
2019,162,51637.16,0,561,0,32.59,17.35,748.13
2019,163,51665.61,0,531.38,0,34.33,20.4,917.17
2019,164,51691.2,0,503.5,0,32.87,20.32,912.02
2019,165,51713.91,0,532.51,0,31.22,17.51,756.08
2019,166,51733.73,0,507.77,0,31.69,18.93,831.99
2019,167,51750.63,0,483.65,0,30.51,18.8,824.89
2019,168,51764.61,0,491.85,0,29.71,17.77,769.75
