Latitude: 34.696655  Longitude: -115.62523,,,,,,,,
X & Y on Lambert Conformal Conic: -1372022.21 -700434.46,,,,,,,,
Tile: 11193,,,,,,,,
Elevation: 886 meters,,,,,,,,
All years; all variables; Daymet Software Version 4.0,,,,,,,,
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 ,,,,,,,,
,,,,,,,,
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2019,138,50006.15,0,531.59,0,24.77,8.93,415.67
2019,139,50091.73,0,461.16,0,21.38,9.03,418.83
2019,140,50175.34,0,472.97,0,20.72,8.02,389.22
2019,141,50256.95,0,413.93,0,19.02,8.59,405.75
2019,142,50336.51,10.28,188.68,0,14.72,8.9,420.39
2019,143,50413.98,0,407.77,0,16.98,7.09,363.71
2019,144,50489.31,0,532.62,0,23.26,8.48,402.51
2019,145,50562.47,0,552.83,0,25.81,9.78,442.03
2019,146,50633.4,0,521.78,0,22.6,8.5,402.89
2019,147,50702.07,0,515.65,0,21.32,7.57,376.65
2019,148,50768.45,0,584.13,0,25.73,7.58,377.01
2019,149,50832.48,0,528.56,0,27.85,12.86,549.77
2019,150,50894.13,0,531.8,0,29.93,14.56,618.46
2019,151,50953.36,0,552.33,0,30.56,13.87,589.77
2019,152,51010.15,0,516.01,0,29.79,15.22,647.11
2019,153,51064.44,0,507.59,0,29.06,15.03,638.8
2019,154,51116.2,0,542.04,0,31.41,15.39,654.96
2019,155,51165.42,0,548.01,0,34.23,17.51,756.05
2019,156,51212.04,0,535.95,0,36.69,20.19,904.02
2019,157,51256.04,0,446.34,0,35.54,23.35,1111.08
2019,158,51297.39,0,526.12,0,33.83,18.34,799.66
2019,159,51336.07,0,532.88,0,32.27,16.47,705.08
2019,160,51372.04,0,495.44,0,32.27,18.16,790.05
2019,161,51405.29,0,533.66,0,35.43,18.88,828.9
2019,162,51435.79,0,537.79,0,37.89,20.69,934.52
2019,163,51463.52,0,522.65,0,39.44,22.82,1073.56
2019,164,51488.46,0,531.69,0,38.18,21.2,966.58
2019,165,51510.59,0,510.09,0,35.69,20.18,903.64
2019,166,51529.91,0,456.55,0,36.25,23.02,1088
2019,167,51546.38,0,496.65,0,35.64,20.71,935.56
2019,168,51560.01,0,472.43,0,34.35,20.68,934.09
2019,169,51570.78,0,506.29,0,35.21,19.83,883.15
2019,170,51578.69,0,496.78,0,35.66,20.63,930.88
2019,171,51583.72,0,494.33,0,36.36,21.24,968.74
2019,172,51585.88,0,471.62,0,33.27,19.28,851.17
2019,173,51585.17,0,445.91,0,32.26,19.31,853.23
2019,174,51581.58,0,534.08,0,33.87,16.55,708.51
2019,175,51575.13,0,515.89,0,35.98,19.4,858.27
2019,176,51565.8,0,492.16,0,34.1,18.9,830.14
2019,177,51553.61,0,491.01,0,33.33,18.22,793.47
2019,178,51538.57,0,487.57,0,33.96,19.04,837.72
2019,179,51520.69,0,500.69,0,34.47,18.84,827.05
2019,180,51499.98,0,511.79,0,35.49,19.15,844.09
2019,181,51476.45,0,488.23,0,36.97,21.67,996.23
2019,182,51450.13,0,486.7,0,37.42,22.11,1025.52
2019,183,51421.02,0,483.54,0,36.25,21.2,966.14
2019,184,51389.16,0,472.43,0,35.22,20.82,942.73
2019,185,51354.55,0,484.37,0,34.99,20.12,899.94
2019,186,51317.24,0,481.25,0,34.55,19.91,887.82
2019,187,51277.23,0,513.08,0,35.58,19.15,844.12
2019,188,51234.56,0,473.52,0,34.84,20.43,918.74
2019,189,51189.26,0,491.8,0,33.44,18.34,799.76
2019,190,51141.35,0,503.98,0,34.29,18.46,805.89
2019,191,51090.86,0,529.63,0,36.62,19.05,838.46
2019,192,51037.84,0,533.04,0,39.43,21.16,964.05
2019,193,50982.31,0,454.11,0,39.17,25.07,1240.77
2019,194,50924.31,0,450.19,0,39.05,25.21,1251.17
2019,195,50863.87,0,479.46,0,40.43,25.08,1240.88
2019,196,50801.04,0,473.44,0,39.46,24.48,1194.55
2019,197,50735.84,0,496.03,0,38.38,22.4,1045.3
2019,198,50668.32,0,482.89,0,36.07,20.98,952.83
2019,199,50598.52,0,512.16,0,36.77,20.08,897.46
2019,200,50526.48,0,483.27,0,36.13,20.95,950.95
2019,201,50452.25,0,500.12,0,36.82,20.68,934.25
2019,202,50375.85,0,520.35,0,38.4,20.81,942.16
2019,203,50297.34,0,432.71,0,37.54,24.26,1177.95
2019,204,50216.76,0,374.9,0,36.73,25.77,1296.38
2019,205,50134.15,7.2,294.54,0,35.6,24.17,1171.53
2019,206,50049.55,3.59,302.52,0,35.14,23.45,1118.08
2019,207,49963.02,0,453.94,0,37.53,23.71,1136.89
2019,208,49874.59,0,474.62,0,39.45,24.43,1190.77
2019,209,49784.3,0,481.14,0,40.96,25.38,1265.47
2019,210,49692.21,0,454.41,0,39.96,25.81,1300.44
2019,211,49598.36,0,404.98,0,37.62,25.78,1297.32
2019,212,49502.79,0,374.22,0,34.78,24.31,1181.76
2019,213,49405.55,0,467.24,0,37.49,23.26,1104.88
2019,214,49306.67,0,483.04,0,38.83,23.65,1133
2019,215,49206.21,0,487.55,0,39.77,24.17,1170.91
2019,216,49104.21,0,466.48,0,39.51,24.95,1231.05
2019,217,49000.7,0,445.1,0,37.99,24.62,1205.27
2019,218,48895.75,0,355.28,0,36.15,26.24,1335.7
2019,219,48789.38,0,426.34,0,36.42,24.08,1164.58
2019,220,48681.64,0,472.92,0,36.17,21.95,1015.12
2019,221,48572.57,0,488.99,0,35.29,20.44,919.21
