year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2019,138,50000.216,0,529.486,0,25.562,9.556,435.993
2019,139,50085.717,0,458.915,0,22.213,9.747,442.362
2019,140,50169.254,0,467.813,0,21.484,8.78,412.77
2019,141,50250.789,0,409.912,0,19.718,9.252,426.703
2019,142,50330.277,8.43,189.952,0,15.549,9.594,447.819
2019,143,50407.675,0,416.709,0,17.944,7.588,377.783
2019,144,50482.937,0,531.806,0,24.11,9.097,421.742
2019,145,50556.029,0,554.552,0,26.636,10.166,454.736
2019,146,50626.894,0,521.335,0,23.396,9.058,420.567
2019,147,50695.501,0,510.933,0,22.105,8.332,399.698
2019,148,50761.818,0,584.66,0,26.497,7.925,386.813
2019,149,50825.79,0,526.879,0,28.67,13.465,574.525
2019,150,50887.384,0,531.714,0,30.737,15.049,640.518
2019,151,50946.561,0,552.939,0,31.344,14.234,605.284
2019,152,51003.294,0,514.267,0,30.62,15.816,675.604
2019,153,51057.535,0,504.889,0,29.708,15.522,661.729
2019,154,51109.25,0,538.899,0,32.038,15.865,677.324
2019,155,51158.42,0,545.151,0,34.859,17.946,779.468
2019,156,51204.999,0,533.171,0,37.344,20.631,931.951
2019,157,51248.958,0,442.6,0,36.296,23.985,1159.8
2019,158,51290.269,0,527.549,0,34.717,18.748,822.628
2019,159,51328.913,0,527.601,0,32.887,17.024,733.214
2019,160,51364.851,0,493.22,0,33.015,18.699,820.462
2019,161,51398.069,0,530.662,0,36.056,19.31,853.956
2019,162,51428.541,0,536.093,0,38.632,21.096,960.451
2019,163,51456.246,0,520.661,0,40.18,23.249,1104.756
2019,164,51481.162,0,530.736,0,39.022,21.65,996.248
2019,165,51503.272,0,507.519,0,36.412,20.677,934.998
2019,166,51522.57,0,447.439,0,36.834,23.701,1139.018
2019,167,51539.027,0,496.462,0,36.458,21.164,965.143
2019,168,51552.644,0,467.575,0,35.07,21.309,975.375
2019,169,51563.403,0,503.263,0,35.93,20.348,915.109
2019,170,51571.305,0,492.278,0,36.27,21.122,962.659
2019,171,51576.332,0,493.004,0,37.139,21.705,999.917
2019,172,51578.491,0,463.268,0,34.038,20.094,902.02
2019,173,51577.781,0,446.945,0,33.094,19.823,883.875
2019,174,51574.195,0,532.069,0,34.65,17.033,733.237
2019,175,51567.749,0,515.429,0,36.73,19.784,880.979
2019,176,51558.428,0,491.343,0,34.846,19.351,856.356
2019,177,51546.25,0,490.869,0,34.119,18.677,818.881
2019,178,51531.225,0,485.735,0,34.731,19.564,868.888
2019,179,51513.361,0,497.487,0,35.093,19.296,853.192
2019,180,51492.67,0,510.617,0,36.233,19.579,869.465
2019,181,51469.162,0,489.936,0,37.717,21.968,1016.603
2019,182,51442.866,0,483.739,0,38.175,22.663,1064.573
2019,183,51413.786,0,478.255,0,37,21.872,1011.887
2019,184,51381.952,0,470.071,0,36.009,21.404,981.04
2019,185,51347.377,0,480.419,0,35.727,20.729,938.759
2019,186,51310.1,0,473.521,0,35.196,20.622,932.88
2019,187,51270.129,0,512.406,0,36.385,19.622,871.945
2019,188,51227.498,0,473.538,0,35.659,20.936,950.991
2019,189,51182.239,0,489.492,0,34.063,18.779,824.312
2019,190,51134.373,0,500.94,0,34.918,18.923,832.448
2019,191,51083.934,0,527.041,0,37.269,19.481,863.734
2019,192,51030.962,0,531.209,0,40.179,21.614,993.947
2019,193,50975.484,0,452.473,0,39.836,25.523,1277.967
2019,194,50917.536,0,450.758,0,39.744,25.584,1282.378
2019,195,50857.152,0,477.404,0,41.147,25.561,1281.293
2019,196,50794.379,0,470.651,0,40.11,24.946,1231.929
2019,197,50729.239,0,495.107,0,39.036,22.785,1072.2
2019,198,50661.783,0,480.235,0,36.681,21.439,982.749
2019,199,50592.047,0,507.441,0,37.397,20.645,933.466
2019,200,50520.074,0,481.684,0,36.766,21.379,978.583
2019,201,50445.909,0,496.297,0,37.412,21.184,966.676
2019,202,50369.58,0,516.417,0,38.971,21.295,973.616
2019,203,50291.142,0,430.891,0,38.07,24.641,1207.715
2019,204,50210.635,0,371.317,0,37.325,26.298,1342.379
2019,205,50128.1,6.746,293.068,0,36.218,24.677,1211.483
2019,206,50043.579,3.388,342.348,0,35.799,23.952,1156.568
2019,207,49957.126,0,453.26,0,38.202,24.172,1172.661
2019,208,49868.776,0,472.387,0,40.101,24.926,1230.7
2019,209,49778.57,0,481.98,0,41.681,25.764,1297.195
2019,210,49686.563,0,454.718,0,40.572,26.172,1330.938
2019,211,49592.797,0,404.237,0,38.249,26.238,1337.141
2019,212,49497.312,0,373.641,0,35.401,24.795,1220.322
2019,213,49400.157,0,464.825,0,38.122,23.78,1143.987
2019,214,49301.368,0,483.22,0,39.568,24.123,1168.939
2019,215,49200.999,0,487.443,0,40.486,24.618,1206.414
2019,216,49099.088,0,465.345,0,40.157,25.405,1268.497
2019,217,48995.674,0,436.614,0,38.223,25.041,1239.259
2019,218,48890.816,0,354.8,0,36.776,26.737,1379.804
2019,219,48784.539,0,422.566,0,37.007,24.645,1209.143
2019,220,48676.895,0,472.839,0,36.876,22.45,1049.687
2019,221,48567.923,0,487.773,0,35.937,20.949,951.805
