year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2019,158,51715.97211,0,388.6542105,0,30.88894737,21.03894737,1350.107368
2019,159,51756.78,0,508.4626316,0,29.25473684,15.39157895,737.1289474
2019,160,51794.73842,0,499.4631579,0,30.20105263,16.49368421,801.1389474
2019,161,51829.82368,0,541.1031579,0,33.51526316,17.26947368,787.1
2019,162,51862.00789,0,548.79,0,35.83210526,18.68473684,851.4526316
2019,163,51891.26737,0,523.1989474,0,37.52789474,21.49631579,1039.102105
2019,164,51917.58684,0,486.6705263,0,35.49684211,21.47947368,1086.251579
2019,165,51940.94368,0,515.2347368,0,35.25368421,19.83157895,944.0568421
2019,166,51961.32526,0,518.5031579,0,36.08736842,20.16736842,960.4815789
2019,167,51978.71211,0,444.6657895,0,34.37789474,21.79263158,1198.964737
2019,168,51993.09895,0,476.2036842,0,33.29157895,19.72,1002.615789
2019,169,52004.46421,0,495.9442105,0,34.89894737,20.14421053,988.4573684
2019,170,52012.80842,0,498.0042105,0,36.84473684,21.96736842,1030.988947
2019,171,52018.12316,0,434.5205263,0,35.33210526,23.26789474,1134.676842
2019,172,52020.40737,0,451.0721053,0,31.53526316,19.07789474,864.2152632
2019,173,52019.65316,0,395.0542105,0,29.01263158,18.61842105,863.2989474
2019,174,52015.86895,0,529.1236842,0,32.16789474,15.88789474,683.7152632
2019,175,52009.05211,0,509.3673684,0,34.69947368,19.10894737,849.6
2019,176,51999.20684,0,429.6836842,0,33.42526316,21.33789474,1005.933684
2019,177,51986.34316,0,404.0468421,0,31.96473684,20.91,993.8815789
2019,178,51970.47,0,422.6126316,0,32.46368421,20.78052632,971.5563158
2019,179,51951.59789,0,471.7068421,0,32.97421053,19.37789474,870.8205263
2019,180,51929.74211,0,495.8505263,0,34.39578947,19.54631579,875.9757895
2019,181,51904.91316,0,444.6936842,0,34.84631579,22.16894737,1057.605263
2019,182,51877.13474,0,484.8384211,0,34.90894737,20.52105263,936.4284211
2019,183,51846.42105,0,436.4310526,0,34.00315789,21.72,1028.429474
2019,184,51812.79684,0,457.3552632,0,33.29631579,20.33157895,934.3821053
2019,185,51776.28526,0,473.1378947,0,32.96526316,19.47368421,878.3473684
2019,186,51736.91158,0,512.16,0,34.71368421,19.21315789,855.1963158
2019,187,51694.69947,0,488.2231579,0,34.94210526,20.53,936.5315789
2019,188,51649.68316,0,422.7610526,0,32.96421053,21.29789474,1005.486842
2019,189,51601.89105,0,463.5878947,0,32.35473684,19.22631579,866.3078947
2019,190,51551.35211,0,486.5336842,0,33.63315789,19.37315789,868.3673684
2019,191,51498.09947,0,526.9221053,0,36.46157895,19.71789474,880.9473684
2019,192,51442.17579,0,508.5147368,0,37.56368421,21.72684211,1007.397368
2019,193,51383.60579,0,473.6884211,0,38.55368421,24.32842105,1199.155789
2019,194,51322.43632,0,458.0694737,0,38.84157895,25.24947368,1276.256842
2019,195,51258.69947,0,477.59,0,38.82157895,24.41157895,1203.988947
2019,196,51192.44158,0,467.4026316,0,37.65736842,23.90052632,1169.436316
2019,197,51123.70211,0,493.5257895,0,36.84421053,21.94473684,1023.592632
2019,198,51052.51474,0,472.3884211,0,35.39789474,21.63421053,1007.125263
2019,199,50978.93105,0,465.1321053,0,35.40684211,21.97631579,1032.492632
2019,200,50902.99158,0,470.6642105,0,35.02157895,21.42105263,994.7121053
2019,201,50824.73737,0,461.1173684,0,34.84421053,21.62263158,1011.28
2019,202,50744.21684,0,513.9689474,0,37.88631579,21.61947368,999.2394737
2019,203,50661.47579,0,479.0215789,0,38.82210526,24.07263158,1177.940526
2019,204,50576.55684,0,300.3536842,0,35.31473684,27.07052632,1622.546316
2019,205,50489.51263,27.72736842,302.9205263,0,35.91894737,24.38052632,1370.876316
2019,206,50400.38474,18.20157895,251.1168421,0,33.21736842,23.85684211,2225.335789
2019,207,50309.21105,0,428.69,0,36.45736842,23.41315789,1710.533158
2019,208,50216.05895,0,444.6636842,0,37.72947368,23.77421053,1693.086842
2019,209,50120.95789,0,462.0715789,0,40.09684211,24.86421053,1753.713158
2019,210,50023.96526,0,437.7668421,0,39.78578947,25.87157895,1836.091053
2019,211,49925.12474,0,402.2863158,0,38.12052632,25.77210526,1927.894737
2019,212,49824.47895,0,346.9210526,0,35.22315789,25.11473684,2055.423158
2019,213,49722.08368,0,427.85,0,36.73894737,23.77842105,1651.021053
2019,214,49617.98158,0,481.3547368,0,37.45473684,22.04842105,1382.57
2019,215,49512.21526,0,482.8968421,0,38.73894737,22.89947368,1451.253158
2019,216,49404.83895,0,461.4336842,0,38.47052632,23.68631579,1570.679474
2019,217,49295.89105,0,458.5178947,0,39.38157895,24.48526316,1650.706316
2019,218,49185.42316,0,376.0589474,0,35.83052632,24.58947368,1877.017368
