Latitude: 36.070817  Longitude: -116.131246,,,,,,,,
X & Y on Lambert Conformal Conic: -1387708.78 -547982.74,,,,,,,,
Tile: 11372,,,,,,,,
Elevation: 1291 meters,,,,,,,,
All years; all variables; Daymet Software Version 4.0,,,,,,,,
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 ,,,,,,,,
,,,,,,,,
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2019,158,51733.49,0,397.44,0,29.02,19.48,1246.55
2019,159,51774.39,0,521.66,0,27.58,13.87,659.23
2019,160,51812.43,0,516.54,0,28.36,14.66,694.77
2019,161,51847.59,0,550.75,0,31.73,15.91,678.32
2019,162,51879.85,0,559.19,0,34.05,17.35,748.01
2019,163,51909.17,0,533.45,0,35.63,20.07,897.06
2019,164,51935.55,0,497.64,0,33.7,20.02,960.72
2019,165,51958.96,0,526.81,0,33.24,18.14,795.83
2019,166,51979.39,0,527.24,0,34,18.6,813.7
2019,167,51996.81,0,461.65,0,32.54,20.05,1064.89
2019,168,52011.23,0,484.4,0,31.32,18.16,904.42
2019,169,52022.62,0,505.95,0,32.89,18.52,861.31
2019,170,52030.98,0,514.45,0,35.07,20.27,909.32
2019,171,52036.31,0,444.72,0,33.41,21.69,998.15
2019,172,52038.6,0,468.45,0,29.79,17.35,747.95
2019,173,52037.84,0,420.12,0,27.21,16.59,710.5
2019,174,52034.05,0,539.9,0,30.41,14.38,610.73
2019,175,52027.22,0,518.06,0,32.89,17.71,766.55
2019,176,52017.35,0,440.53,0,31.6,19.78,879.93
2019,177,52004.46,0,421.59,0,30.24,19.2,846.79
2019,178,51988.55,0,427.78,0,30.69,19.45,860.8
2019,179,51969.64,0,479.02,0,31.28,18.07,785.52
2019,180,51947.73,0,502.38,0,32.63,18.26,795.15
2019,181,51922.85,0,460.27,0,32.94,20.34,913.33
2019,182,51895.01,0,494.03,0,33.07,19.03,837.4
2019,183,51864.23,0,450.63,0,32.39,20.22,905.91
2019,184,51830.53,0,470.63,0,31.73,18.88,829.15
2019,185,51793.94,0,484.91,0,31.3,17.99,781.04
2019,186,51754.48,0,521.03,0,32.95,17.79,770.83
2019,187,51712.17,0,498.46,0,33.24,19.1,841.34
2019,188,51667.06,0,426.23,0,31.11,19.93,889.08
2019,189,51619.16,0,472.35,0,30.7,17.88,775.46
2019,190,51568.51,0,496.7,0,31.94,17.94,778.75
2019,191,51515.14,0,533.69,0,34.77,18.54,810.29
2019,192,51459.1,0,514.99,0,35.74,20.46,920.81
2019,193,51400.4,0,483.84,0,36.63,22.8,1072.38
2019,194,51339.1,0,468.31,0,36.92,23.73,1138.64
2019,195,51275.22,0,485.88,0,36.9,22.99,1085.61
2019,196,51208.82,0,478.25,0,35.79,22.39,1044.62
2019,197,51139.93,0,500.19,0,35.19,20.83,943
2019,198,51068.59,0,477.13,0,33.69,20.51,923.62
2019,199,50994.85,0,475.67,0,33.78,20.67,933.3
2019,200,50918.74,0,480.5,0,33.4,20.15,901.94
2019,201,50840.32,0,472.8,0,33.28,20.33,912.52
2019,202,50759.63,0,524.48,0,36.16,20.31,911.75
2019,203,50676.71,0,491.2,0,36.99,22.63,1060.4
2019,204,50591.61,0,313.86,0,33.27,25.16,1374.97
2019,205,50504.38,37.5,316.37,0,33.97,22.53,1156.88
2019,206,50415.06,21.25,246.4,0,31.33,22.23,2251.44
2019,207,50323.69,0,434.7,0,34.43,21.73,1760.14
2019,208,50230.34,0,449.46,0,35.63,22.1,1748.51
2019,209,50135.04,0,472.61,0,38.19,23.14,1770.88
2019,210,50037.84,0,447.19,0,37.92,24.27,1783.75
2019,211,49938.79,0,405.09,0,36.28,24.38,1966.24
2019,212,49837.93,0,354.83,0,33.57,23.65,2096.81
2019,213,49735.32,0,429.61,0,34.87,22.44,1688.31
2019,214,49631,0,488.51,0,35.62,20.69,1352.93
2019,215,49525.01,0,489.11,0,36.82,21.56,1417.31
2019,216,49417.41,0,468.61,0,36.64,22.31,1548.45
2019,217,49308.23,0,463.82,0,37.45,23.13,1638.06
2019,218,49197.53,0,386.35,0,34.07,23.06,1847.59
