Var1,Var2,Freq
BHS_1497,2019-05-18,0
BHS_1497,2019-05-19,0
BHS_1497,2019-05-20,0
BHS_1497,2019-05-21,0
BHS_1497,2019-05-22,0
BHS_1497,2019-05-24,0
BHS_1497,2019-06-05,0
BHS_1497,2019-06-06,0
BHS_1497,2019-06-07,0
BHS_1497,2019-06-08,0
BHS_1497,2019-06-09,0
BHS_1497,2019-06-10,0
BHS_1497,2019-06-11,0
BHS_1497,2019-06-19,0
BHS_1497,2019-06-20,0
BHS_1497,2019-06-21,0
BHS_1497,2019-06-22,0
BHS_1497,2019-06-26,0
BHS_1497,2019-06-27,0
BHS_1497,2019-06-28,0
BHS_1497,2019-06-29,0
BHS_1497,2019-07-11,0
BHS_1497,2019-07-12,0
BHS_1497,2019-07-13,0
BHS_1497,2019-07-18,0
BHS_1497,2019-07-19,0
BHS_1497,2019-07-20,0
BHS_1497,2019-07-21,0
BHS_1497,2019-07-22,0
BHS_1497,2019-07-23,0
BHS_1497,2019-07-24,0
BHS_1497,2019-08-01,0
BHS_1497,2019-08-02,0
BHS_1497,2019-08-03,0
BHS_1497,2019-08-07,0
BHS_1497,2019-08-08,0
BHS_1497,2019-08-09,0
