GO_RangeCode,GO_OBSERVER1s,GO_WaterSource,GO_DG_SpecificSource,GO_Date,GO_Time_HHMM,GO_Time_HHMM_End,GO_DatObsTime,GO_SheepUTM_E,GO_SheepUTM_N,GO_DG_Photo#Start,GO_DG_Photo#End,GO_DG_PhotoFolder,KI_Known_ID,KI_DatObsT_ID,KI_Sex,KI_DG_FirstPhotoTime,KI_DG_LastPhotoTime,KI_DG_SheepDrank,KI_DG_FirstPhotoTime2,KI_DG_LastPhotoTime2,KI_DG_SheepDrank2,KI_DG_FirstPhotoTime3,KI_DG_LastPhotoTime3,KI_DG_SheepDrank3,KI_DG_FirstPhotoTime4,KI_DG_LastPhotoTime4,KI_DG_SheepDrank4,GO_GroupSize,GO_NoLambs,GO_NoMaleLambs,GO_NoFemLambs,GO_NoUnkLambs,GO_NoShtYrlgEwe,GO_NoShtYrlgRam,GO_NoShtYrlgUnkwn,GO_TotNoShtYrlg,GO_TotNoEwe,GO_NoYrlgEwe,GO_NoAdltEwe,GO_NoUnkEwe,GO_TotNoRam,GO_NoYrlgRam,GO_NoAdltRam,GO_NoUnkRam,GO_UnkwSexAge,GO_NoCatI,GO_NoCatII,GO_NoCatIII,GO_NoCatIV,GO_NoLamb0,GO_NoLambHalf,GO_NoLambFull,GO_Comments,GO_UnknownYearling,GO_totalYearling,GO_UnknownAdult,GO_TotalAdults,GO_TotalSexUnkn,GO_TotalAgeUnkn,GO_MarkedMale,GO_MarkedFemale,CP_Weight (kg),CP_AgeCategor,CP_AgeYears,CP_BdyLgth_cm,CP_ChstGth_cm,Year,Month,Day
Marb,D_Glass,Vern,,20190610,17:52,,20190610D_Glass17:52,,,6100839,6100873,6,BHS_1357,20190610D_Glass17:52BHS_1357,,17:53,17:53,Y,,,,,,,,,,4,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2,4,2,0,0,1,,Adult,2,,,2019,6,10
Marb,D_Glass,Vern,,20190610,19:09,,20190610D_Glass19:09,,,6100874,6100902,6,BHS_1420,20190610D_Glass19:09BHS_1420,,19:09,19:23,Y,,,,,,,,,,4,0,0,0,0,0,0,0,0,3,0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,,0,0,0,4,0,0,1,0,96.5,Adult,6,155,111.5,2019,6,10
Marb,D_Glass,Vern,,20190610,19:09,,20190610D_Glass19:09,,,6100874,6100902,6,BHS_1420,20190610D_Glass19:09BHS_1420,,19:09,19:23,Y,,,,,,,,,,4,0,0,0,0,0,0,0,0,3,0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,,0,0,0,4,0,0,1,0,,Adult,6,,,2019,6,10
Marb,D_Glass,Vern,,20190610,19:09,,20190610D_Glass19:09,,,6100874,6100902,6,BHS_1420,20190610D_Glass19:09BHS_1420,,19:09,19:23,Y,,,,,,,,,,4,0,0,0,0,0,0,0,0,3,0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,,0,0,0,4,0,0,1,0,,Adult,7,,,2019,6,10
Marb,D_Glass,Vern,Far,20190611,7:53,,20190611D_Glass07:53,,,6110907,6110579,07-Jun,BHS_1416,20190611D_Glass07:53BHS_1416,,7:54,7:57,Y,,,,,,,,,,19,3,0,0,3,0,0,0,0,7,0,7,0,9,0,9,0,0,0,3,2,4,0,3,0,,0,0,0,16,3,0,2,3,,Adult,6,,,2019,6,11
Marb,D_Glass,Vern,Far,20190611,7:53,,20190611D_Glass07:53,,,6110907,6110579,07-Jun,BHS_1682,20190611D_Glass07:53BHS_1682,,7:54,7:57,Y,,,,,,,,,,19,3,0,0,3,0,0,0,0,7,0,7,0,9,0,9,0,0,0,3,2,4,0,3,0,,0,0,0,16,3,0,2,3,61,Adult,3,140,98.5,2019,6,11
Marb,D_Glass,Vern,Far,20190611,7:53,,20190611D_Glass07:53,,,6110907,6110579,07-Jun,BHS_1587,20190611D_Glass07:53BHS_1587,,7:55,8:04,Y,,,,,,,,,,19,3,0,0,3,0,0,0,0,7,0,7,0,9,0,9,0,0,0,3,2,4,0,3,0,,0,0,0,16,3,0,2,3,65.5,Adult,6,139,97,2019,6,11
Marb,D_Glass,Vern,Far,20190611,7:53,,20190611D_Glass07:53,,,6110907,6110579,07-Jun,BHS_1590,20190611D_Glass07:53BHS_1590,,8:36,8:56,Y,,,,,,,,,,19,3,0,0,3,0,0,0,0,7,0,7,0,9,0,9,0,0,0,3,2,4,0,3,0,,0,0,0,16,3,0,2,3,,Adult,10,,,2019,6,11
Marb,D_Glass,Vern,Far,20190611,7:53,,20190611D_Glass07:53,,,6110907,6110579,07-Jun,BHS_1576,20190611D_Glass07:53BHS_1576,,8:41,8:43,Y,,,,,,,,,,19,3,0,0,3,0,0,0,0,7,0,7,0,9,0,9,0,0,0,3,2,4,0,3,0,,0,0,0,16,3,0,2,3,58.5,Adult,8,141,97,2019,6,11
Marb,D_Glass,Vern,,20190611,11:02,,20190611D_Glass11:02,,,6110808,6110992,7,BHS_1592,20190611D_Glass11:02BHS_1592,,11:05,11:09,Y,,,,,,,,,,9,1,0,0,1,0,0,0,0,6,1,5,0,2,0,2,0,0,0,2,0,0,0,1,0,,0,1,0,7,1,0,0,1,60.5,Adult,5,137.5,103,2019,6,11
