Date,Meannumvisits,sd
2019-06-07,0,0
2019-06-08,0,0
2019-06-09,0,0
2019-06-10,0,0
2019-06-11,0,0
2019-06-12,0,0
2019-06-26,0,0
2019-06-27,0,0
2019-06-28,0,0
2019-06-29,0,0
2019-06-30,0,0
2019-07-02,0,0
2019-07-03,0,0
2019-07-04,0,0
2019-07-05,0,0
2019-07-07,0,0
2019-07-19,0,0
2019-07-20,0,0
2019-07-21,0,0
2019-07-23,0,0
2019-07-24,0,0
2019-07-25,0,0
2019-07-26,0,0
2019-07-27,0,0
2019-07-28,0,0
2019-07-30,0,0
2019-07-31,0,0
2019-06-06,NA,NA
2019-06-13,NA,NA
2019-06-14,NA,NA
2019-06-15,NA,NA
2019-06-16,NA,NA
2019-06-17,NA,NA
2019-06-18,NA,NA
2019-06-19,NA,NA
2019-06-20,NA,NA
2019-06-21,NA,NA
2019-06-22,NA,NA
2019-06-23,NA,NA
2019-06-24,NA,NA
2019-06-25,NA,NA
2019-07-08,NA,NA
2019-07-09,NA,NA
2019-07-10,NA,NA
2019-07-11,NA,NA
2019-07-12,NA,NA
2019-07-13,NA,NA
2019-07-14,NA,NA
2019-07-15,NA,NA
2019-07-16,NA,NA
2019-07-29,NA,NA
2019-08-07,NA,NA
