MountainRange,year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa),Date,Month
Nopa,2019,158,51840,0,412.7999878,0,31,20.5,960,2019-06-07,6
Nopa,2019,159,51840,0,518.4000244,0,29.5,15,640,2019-06-08,6
Nopa,2019,160,51840,0,470.3999939,0,29,16.5,720,2019-06-09,6
Nopa,2019,161,51840,0,518.4000244,0,32,17,720,2019-06-10,6
Nopa,2019,162,51840,0,534.4000244,0,35,18.5,800,2019-06-11,6
Nopa,2019,163,51840,0,515.2000122,0,36.5,21,960,2019-06-12,6
Nopa,2019,164,51840,0,486.3999939,0,35,21,960,2019-06-13,6
Nopa,2019,165,51840,0,515.2000122,0,35,19.5,880,2019-06-14,6
Nopa,2019,166,51840,0,512,0,35.5,20,880,2019-06-15,6
Nopa,2019,167,51840,0,448,0,34,21.5,1000,2019-06-16,6
Nopa,2019,168,51840,0,476.7999878,0,33,19.5,880,2019-06-17,6
Nopa,2019,169,51840,0,492.7999878,0,34,19.5,880,2019-06-18,6
Nopa,2019,170,51840,0,476.7999878,0,35.5,21.5,1000,2019-06-19,6
Nopa,2019,171,52185.60156,0,441.6000061,0,35,22.5,1040,2019-06-20,6
Nopa,2019,172,52185.60156,0,470.3999939,0,32,18.5,800,2019-06-21,6
Nopa,2019,173,52185.60156,0,409.6000061,0,29,18,800,2019-06-22,6
Nopa,2019,174,52185.60156,0,508.7999878,0,31,15.5,640,2019-06-23,6
Nopa,2019,175,51840,0,483.2000122,0,33.5,19,840,2019-06-24,6
Nopa,2019,176,51840,0,425.6000061,0,33,21,960,2019-06-25,6
Nopa,2019,177,51840,0,400,0,31.5,20.5,920,2019-06-26,6
Nopa,2019,178,51840,0,412.7999878,0,32,20.5,920,2019-06-27,6
Nopa,2019,179,51840,0,454.3999939,0,32,19,840,2019-06-28,6
Nopa,2019,180,51840,0,473.6000061,0,33.5,19.5,880,2019-06-29,6
Nopa,2019,181,51840,0,438.3999939,0,34,21.5,1000,2019-06-30,6
Nopa,2019,182,51840,0,473.6000061,0,34,20,880,2019-07-01,7
Nopa,2019,183,51840,0,425.6000061,0,33.5,21.5,1000,2019-07-02,7
Nopa,2019,184,51840,0,441.6000061,0,32.5,20,880,2019-07-03,7
Nopa,2019,185,51840,0,467.2000122,0,32.5,19,840,2019-07-04,7
Nopa,2019,186,51840,0,496,0,34,19,840,2019-07-05,7
Nopa,2019,187,51840,0,473.6000061,0,34.5,20.5,920,2019-07-06,7
Nopa,2019,188,51494.39844,0,428.7999878,0,33,21,960,2019-07-07,7
Nopa,2019,189,51494.39844,0,454.3999939,0,32,19,840,2019-07-08,7
Nopa,2019,190,51494.39844,0,473.6000061,0,33,19,840,2019-07-09,7
Nopa,2019,191,51494.39844,0,508.7999878,0,35.5,19.5,880,2019-07-10,7
Nopa,2019,192,51494.39844,0,496,0,37,21.5,1000,2019-07-11,7
Nopa,2019,193,51494.39844,0,454.3999939,0,37.5,24,1160,2019-07-12,7
Nopa,2019,194,51148.80078,0,451.2000122,0,38.5,25,1240,2019-07-13,7
Nopa,2019,195,51148.80078,0,473.6000061,0,38.5,24,1160,2019-07-14,7
Nopa,2019,196,51148.80078,0,457.6000061,0,37,23.5,1120,2019-07-15,7
Nopa,2019,197,51148.80078,0,489.6000061,0,36.5,21.5,1000,2019-07-16,7
Nopa,2019,198,51148.80078,0,460.7999878,0,35,21.5,1000,2019-07-17,7
Nopa,2019,199,51148.80078,0,460.7999878,0,35,21.5,1000,2019-07-18,7
Nopa,2019,200,50803.19922,0,460.7999878,0,34.5,21,960,2019-07-19,7
Nopa,2019,201,50803.19922,0,438.3999939,0,34,21.5,1000,2019-07-20,7
Nopa,2019,202,50803.19922,0,496,0,37,21.5,1000,2019-07-21,7
Nopa,2019,203,50803.19922,0,460.7999878,0,38,24,1160,2019-07-22,7
Nopa,2019,204,50457.60156,0,348.7999878,0,36,26.5,1360,2019-07-23,7
Nopa,2019,205,50457.60156,0,384,0,34.5,24,1160,2019-07-24,7
Nopa,2019,206,50457.60156,42,275.2000122,0,33.5,23.5,1120,2019-07-25,7
Nopa,2019,207,50457.60156,0,406.3999939,0,35,23,1480,2019-07-26,7
Nopa,2019,208,50112,0,438.3999939,0,37,23.5,1400,2019-07-27,7
Nopa,2019,209,50112,0,454.3999939,0,39,24.5,1400,2019-07-28,7
Nopa,2019,210,50112,0,428.7999878,0,39,25.5,1600,2019-07-29,7
Nopa,2019,211,49766.39844,0,412.7999878,0,38,25.5,1440,2019-07-30,7
Nopa,2019,212,49766.39844,0,361.6000061,0,35.5,25,1640,2019-07-31,7
Nopa,2019,213,49766.39844,0,422.3999939,0,36,23.5,1280,2019-08-01,8
Nopa,2019,214,49766.39844,0,480,0,36.5,21.5,1000,2019-08-02,8
Nopa,2019,215,49420.80078,0,483.2000122,0,38,22.5,1040,2019-08-03,8
Nopa,2019,216,49420.80078,0,451.2000122,0,37.5,23.5,1160,2019-08-04,8
Nopa,2019,217,49420.80078,0,457.6000061,0,38.5,24,1160,2019-08-05,8
Nopa,2019,218,49075.19922,0,400,0,36,24,1400,2019-08-06,8
