GO_RangeCode,GO_OBSERVER1s,GO_WaterSource,GO_DG_SpecificSource,GO_Date,GO_Time_HHMM,GO_Time_HHMM_End,GO_DatObsTime,GO_SheepUTM_E,GO_SheepUTM_N,GO_DG_Photo#Start,GO_DG_Photo#End,GO_DG_PhotoFolder,KI_Known_ID,KI_DatObsT_ID,KI_Sex,KI_DG_FirstPhotoTime,KI_DG_LastPhotoTime,KI_DG_SheepDrank,KI_DG_FirstPhotoTime2,KI_DG_LastPhotoTime2,KI_DG_SheepDrank2,KI_DG_FirstPhotoTime3,KI_DG_LastPhotoTime3,KI_DG_SheepDrank3,KI_DG_FirstPhotoTime4,KI_DG_LastPhotoTime4,KI_DG_SheepDrank4,GO_GroupSize,GO_NoLambs,GO_NoMaleLambs,GO_NoFemLambs,GO_NoUnkLambs,GO_NoShtYrlgEwe,GO_NoShtYrlgRam,GO_NoShtYrlgUnkwn,GO_TotNoShtYrlg,GO_TotNoEwe,GO_NoYrlgEwe,GO_NoAdltEwe,GO_NoUnkEwe,GO_TotNoRam,GO_NoYrlgRam,GO_NoAdltRam,GO_NoUnkRam,GO_UnkwSexAge,GO_NoCatI,GO_NoCatII,GO_NoCatIII,GO_NoCatIV,GO_NoLamb0,GO_NoLambHalf,GO_NoLambFull,GO_Comments,GO_UnknownYearling,GO_totalYearling,GO_UnknownAdult,GO_TotalAdults,GO_TotalSexUnkn,GO_TotalAgeUnkn,GO_MarkedMale,GO_MarkedFemale,CP_Weight (kg),CP_AgeCategor,CP_AgeYears,CP_BdyLgth_cm,CP_ChstGth_cm,Year,Month,Day
Marb,D_Glass,Ther,DrinkerBox,20190612,9:46,,20190612D_Glass09:46,,,6120703,,5,BHS_1367,20190612D_Glass09:46BHS_1367,,9:46,9:49,Y,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Group not comped.,0,0,0,0,0,0,0,3,,,,,,2019,6,12
Marb,D_Glass,Ther,DrinkerBox,20190612,9:46,,20190612D_Glass09:46,,,6120703,,5,BHS_1362,20190612D_Glass09:46BHS_1362,,9:47,9:51,Y,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Group not comped.,0,0,0,0,0,0,0,3,,Adult,2,,,2019,6,12
Marb,D_Glass,Ther,DrinkerBox,20190612,9:46,,20190612D_Glass09:46,,,6120703,,5,BHS_1361,20190612D_Glass09:46BHS_1361,,9:47,9:50,Y,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Group not comped.,0,0,0,0,0,0,0,3,,Adult,3,,,2019,6,12
Marb,D_Glass,Ther,DrinkerBox,20190612,6:45,,20190612D_Glass06:45,,,6120501,,5,BHS_1584,20190612D_Glass06:45BHS_1584,,6:45,6:46,Y,,,,,,,,,,3,0,0,0,0,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,,0,0,0,3,0,0,0,1,,Adult,7,,,2019,6,12
Marb,D_Glass,Ther,DrinkerBox,20190612,10:00,,20190612D_Glass10:00,,,6120753,,5,BHS_1585,20190612D_Glass10:00BHS_1585,,10:00,10:00,Y,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,1,,Adult,5,,,2019,6,12
Marb,D_Glass,Ther,DrinkerBox,20190611,13:15,,20190611D_Glass13:15,,,6110186,,5,BHS_1583,20190611D_Glass13:15BHS_1583,,13:15,13:17,Y,,,,,,,,,,4,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,4,0,0,0,1,63,Adult,6,142.5,93.2,2019,6,11
Marb,D_Glass,Ther,DrinkerBox,20190611,13:01,,20190611D_Glass13:01,,,6110170,6110182,5,BHS_1582,20190611D_Glass13:01BHS_1582,,13:01,13:04,Y,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,1,59.2,Adult,5,138,92,2019,6,11
Marb,D_Glass,Ther,DrinkerBox,20190611,8:07,,20190611D_Glass08:07,,,6110690,,5,BHS_1494,20190611D_Glass08:07BHS_1494,,8:07,8:12,Y,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,,0,0,0,2,0,0,1,0,64.6,Adult,4,145.1,104,2019,6,11
Marb,D_Glass,Ther,DrinkerBox,20190611,8:07,,20190611D_Glass08:07,,,6110690,,5,BHS_1494,20190611D_Glass08:07BHS_1494,,8:07,8:12,Y,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,,0,0,0,2,0,0,1,0,88.4,Adult,6,154,112.5,2019,6,11
Marb,D_Glass,Ther,DrinkerBox,20190611,7:07,,20190611D_Glass07:07,,,6110675,,5,BHS_1684,20190611D_Glass07:07BHS_1684,,7:07,7:11,Y,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,,0,0,0,1,0,0,1,0,76.3,Adult,12,149,102,2019,6,11
Marb,D_Glass,Ther,DrinkerBox,20190610,11:05,,20190610D_Glass11:05,,,6100265,6100282,5,BHS_1361,20190610D_Glass11:05BHS_1361,,11:06,11:07,Y,,,,,,,,,,5,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,5,0,0,0,2,,Adult,3,,,2019,6,10
Marb,D_Glass,Ther,DrinkerBox,20190610,6:31,,20190610D_Glass06:31,,,6100996,,4,BHS_1683,20190610D_Glass06:31BHS_1683,,6:31,6:33,Y,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1,0,0,0,,0,0,0,2,0,0,1,0,64.6,Adult,3,144,95.5,2019,6,10
Marb,D_Glass,Ther,DrinkerBox,20190610,10:24,,20190610D_Glass10:24,,,6100175,,Y,BHS_1588,20190610D_Glass10:24BHS_1588,,10:24,10:26,Y,,,,,,,,,,6,2,0,0,2,0,0,0,0,3,0,3,0,1,0,1,0,0,0,0,1,0,2,0,0,,0,0,0,4,2,0,0,1,,Adult,6,,,2019,6,10
Marb,D_Glass,Ther,DrinkerBox,20190610,11:05,,20190610D_Glass11:05,,,6100265,6100282,5,BHS_1584,20190610D_Glass11:05BHS_1584,,11:05,11:06,Y,,,,,,,,,,5,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,5,0,0,0,2,,Adult,7,,,2019,6,10
Marb,D_Glass,Ther,DrinkerBox,20190610,12:49,,20190610D_Glass12:49,,,6100383,,5,BHS_1367,20190610D_Glass12:49BHS_1367,,12:49,12:52,Y,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,1,,,,,,2019,6,10
Marb,D_Glass,Ther,DrinkerBox,20190610,8:34,,20190610D_Glass08:34,,,6100075,,5,BHS_1585,20190610D_Glass08:34BHS_1585,,8:34,8:37,Y,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Group not comped.,0,0,0,0,0,0,0,1,,Adult,5,,,2019,6,10
