MountainRange,year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa),Date,Month
BrsS,2019,156,51148.80078,0,496,0,39,23.5,1120,2019-06-05,6
BrsS,2019,157,51148.80078,0,432,0,38.5,26,1320,2019-06-06,6
BrsS,2019,158,51148.80078,0,528,0,37,20,880,2019-06-07,6
BrsS,2019,159,51148.80078,0,540.7999878,0,37,19,840,2019-06-08,6
BrsS,2019,160,51494.39844,0,457.6000061,0,35,21.5,1000,2019-06-09,6
BrsS,2019,161,51494.39844,0,508.7999878,0,38,21.5,1000,2019-06-10,6
BrsS,2019,162,51494.39844,0,460.7999878,0,38,24,1160,2019-06-11,6
BrsS,2019,163,51494.39844,0,460.7999878,0,41,26.5,1360,2019-06-12,6
BrsS,2019,164,51494.39844,0,492.7999878,0,41,25,1240,2019-06-13,6
BrsS,2019,165,51494.39844,0,496,0,40,24,1160,2019-06-14,6
BrsS,2019,166,51494.39844,0,435.2000122,0,39,26,1320,2019-06-15,6
BrsS,2019,167,51494.39844,0,480,0,38.5,23.5,1120,2019-06-16,6
BrsS,2019,168,51494.39844,0,480,0,38,23,1080,2019-06-17,6
BrsS,2019,169,51494.39844,0,492.7999878,0,37,21.5,1000,2019-06-18,6
BrsS,2019,170,51494.39844,0,489.6000061,0,38,22.5,1040,2019-06-19,6
BrsS,2019,171,51494.39844,0,492.7999878,0,39.5,23.5,1120,2019-06-20,6
BrsS,2019,172,51494.39844,0,483.2000122,0,37.5,22,1000,2019-06-21,6
BrsS,2019,173,51494.39844,0,457.6000061,0,35,21,960,2019-06-22,6
BrsS,2019,174,51494.39844,0,528,0,36,18,800,2019-06-23,6
BrsS,2019,175,51494.39844,0,489.6000061,0,37.5,21.5,1000,2019-06-24,6
BrsS,2019,176,51494.39844,0,508.7999878,0,37.5,20.5,920,2019-06-25,6
BrsS,2019,177,51494.39844,0,508.7999878,0,36.5,19.5,880,2019-06-26,6
BrsS,2019,178,51494.39844,0,473.6000061,0,36,21,960,2019-06-27,6
BrsS,2019,179,51494.39844,0,505.6000061,0,37.5,20.5,920,2019-06-28,6
BrsS,2019,180,51494.39844,0,476.7999878,0,37.5,22,1000,2019-06-29,6
BrsS,2019,181,51494.39844,0,492.7999878,0,39,22.5,1040,2019-06-30,6
BrsS,2019,182,51494.39844,0,473.6000061,0,39.5,24,1160,2019-07-01,7
BrsS,2019,183,51494.39844,0,480,0,39.5,23.5,1120,2019-07-02,7
BrsS,2019,184,51494.39844,0,464,0,38,23,1080,2019-07-03,7
BrsS,2019,185,51148.80078,0,476.7999878,0,38,22.5,1040,2019-07-04,7
BrsS,2019,186,51148.80078,0,467.2000122,0,37.5,22.5,1040,2019-07-05,7
BrsS,2019,187,51148.80078,0,492.7999878,0,38.5,22,1000,2019-07-06,7
BrsS,2019,188,51148.80078,0,473.6000061,0,38,22.5,1040,2019-07-07,7
BrsS,2019,189,51148.80078,0,505.6000061,0,37.5,20.5,920,2019-07-08,7
BrsS,2019,190,51148.80078,0,476.7999878,0,37.5,22,1000,2019-07-09,7
BrsS,2019,191,51148.80078,0,499.2000122,0,39,22,1000,2019-07-10,7
BrsS,2019,192,51148.80078,0,499.2000122,0,41.5,24,1160,2019-07-11,7
BrsS,2019,193,50803.19922,0,451.2000122,0,42,27,1400,2019-07-12,7
BrsS,2019,194,50803.19922,0,467.2000122,0,43,27,1400,2019-07-13,7
BrsS,2019,195,50803.19922,0,483.2000122,0,43.5,26.5,1360,2019-07-14,7
BrsS,2019,196,50803.19922,0,435.2000122,0,42.5,28,1480,2019-07-15,7
BrsS,2019,197,50803.19922,0,492.7999878,0,42.5,25,1240,2019-07-16,7
BrsS,2019,198,50803.19922,0,473.6000061,0,40.5,24.5,1200,2019-07-17,7
BrsS,2019,199,50457.60156,0,499.2000122,0,40,22.5,1040,2019-07-18,7
BrsS,2019,200,50457.60156,0,508.7999878,0,40,22,1000,2019-07-19,7
BrsS,2019,201,50457.60156,0,505.6000061,0,40,22,1000,2019-07-20,7
BrsS,2019,202,50457.60156,0,518.4000244,0,41,22,1000,2019-07-21,7
BrsS,2019,203,50112,0,422.3999939,0,40.5,26.5,1360,2019-07-22,7
BrsS,2019,204,50112,0,364.7999878,0,40,28.5,1520,2019-07-23,7
BrsS,2019,205,50112,0,393.6000061,0,39.5,27,1400,2019-07-24,7
BrsS,2019,206,50112,2,400,0,38.5,26,1320,2019-07-25,7
BrsS,2019,207,49766.39844,0,432,0,40.5,26.5,1360,2019-07-26,7
BrsS,2019,208,49766.39844,0,428.7999878,0,41.5,27.5,1440,2019-07-27,7
BrsS,2019,209,49766.39844,0,454.3999939,0,43.5,28,1480,2019-07-28,7
BrsS,2019,210,49766.39844,0,476.7999878,0,43,26.5,1360,2019-07-29,7
BrsS,2019,211,49420.80078,0,451.2000122,0,42,27,1400,2019-07-30,7
BrsS,2019,212,49420.80078,0,425.6000061,0,39.5,26,1320,2019-07-31,7
BrsS,2019,213,49420.80078,0,448,0,40,25.5,1280,2019-08-01,8
BrsS,2019,214,49420.80078,0,454.3999939,0,41.5,26.5,1360,2019-08-02,8
BrsS,2019,215,49075.19922,0,454.3999939,0,41.5,26.5,1360,2019-08-03,8
BrsS,2019,216,49075.19922,0,451.2000122,0,42,27,1400,2019-08-04,8
BrsS,2019,217,49075.19922,0,476.7999878,0,43.5,27,1400,2019-08-05,8
BrsS,2019,218,48729.60156,0,259.2000122,0,36,28.5,1520,2019-08-06,8
BrsS,2019,219,48729.60156,0,419.2000122,0,39,26,1320,2019-08-07,8
BrsS,2019,220,48729.60156,0,464,0,39.5,24.5,1200,2019-08-08,8
BrsS,2019,221,48384,0,467.2000122,0,39,24,1160,2019-08-09,8
BrsS,2019,222,48384,0,473.6000061,0,37.5,22.5,1040,2019-08-10,8
BrsS,2019,223,48384,0,483.2000122,0,37.5,22,1000,2019-08-11,8
