Mountain Range,Latitude,Longitude,Name,Currently has water?,Sheep use?,Camera Data?,,,,Needs to be added to ArcMap/GoogleEarth,
Avawatz,567501,3930445,Old Mormon Spring,N,N,,been dry for decades,,,,
Avawatz,554367,3935258,Arraste Spring,U,U ,,On DOD land,,,,
Avawatz,555581,3938763,Castor Bean Spring,U,U,,,,,,
Avawatz,556494,3938294,Mule Spring,U,U,,,,,,
Avawatz,560791,3932745,Incognitus Spring,N,N,,4/12/18 no water,,,,
Avawatz,561363,3932302,Alamo Seep,Y,N,,"4/12/18 small hole with bees so assumed water, nothing accessible to sheep",,,,
Avawatz,562874,3929248,Limestone Spring,N,N,,4/12/18 no water,,,,
Avawatz,563508,3927804,Bottle Spring,U,U,,,,,,
Avawatz,564941,3924389,Weaver Dick Spring,U,U,,,,,,
Avawatz,564723,3927008,Tin Cabin Spring,Y,Y,,"4/12/18 Small amount of water, 500m of willows, very, very minimal sheep use (found one poop pile), some running water in lower part that is very difficult to get to. ",,,,
Avawatz,557813,3934204,Upper Sheep Creek Spring,U,U,,"On DOD land, historically was one of the most important springs for Avawatz sheep",,,,
Avawatz,557959,3938565,Lower Sheep Creek Spring,Y,Y,,"4/11/2018 Most water taken up by willows, small trickle at bottom available to sheep. Assume very minimal sheep use. Burro use.",,,N,
Bullion,,,?29 Palms,Y,Y,Y,Y ,2018 Several pics of sheep sent from 29 Palms at natural pool- not our camera,,,
Cadys,557404,3858061, Cady 1 Drinker,Y,Y,Y,,,,,
Cadys,560619,3867245,Big Gee's Drinker,U,U,Y,,,,,
Cadys,555251,3877471,Afton Canyon,Y,Y,,,,,,
Cadys,,,Cady Too Drinker,Y,Y,Y,Y,7/17/18 Full (1 tank only down 2ft),,x,
Castle Piutes,673944,3908321,Kidney Spring Drinker,Y,Y,,,,,,
Castle Piutes,672600,3906200,Hart Mine,U,U,,,,,,
Castle Piutes,672261,3905019,Hart Drinker,Y,N,,,,,,
Castle Piutes,682541,3887352,Piute Spring,U,U,,,,,,
Castle Piutes,681460,3895863,Piute SB08?,U,U,,,,,,
Castle Piutes,677576,3910177,Quail Spring,U,U,,,,,,
Castle Piutes,672259,3905026,Viceroy Mine Drinker,U,U,,,,,,
Chemehuevi,721813,3832392,Chemehuevi/Parrish Drinker,U,U,,location approximate. Status unknown. May be on mountain south.,,,,
Chemehuevi,722881,3833042,Samantha/Wildcat Spring ,U,U,,,,,,
Chemehuevi,723110,3830901,Parish Spring,U,U,,,,,,
Chemehuevi,725426,3828780,Studio Spring 1,U,U,,,,,,
Chemehuevi,728196,3829557,Amahl Spring,U,U,,,,,,
Chemehuevi,730296,3831407,Wimpy Spring,U,U,,,,,,
Chemehuevi,733089,3835582,Mojave Canyon Spring,U,U,,,,,,
Chuckwallas,657472,3719851,Chuckwalla/Ship Creek Guzzler,N,N,,does get sheep use when has water,,,,
Chuckwallas,649012,3727455,Tin Tank/The Crack/Long Tank+tinaja above,Y,Y,,,,,,
Chuckwallas,649990,3725681,Jessewalla Drinker,Y,Y,,,,,,
Chuckwallas,664798,3714656,Mery/Mayer walla Drinker,Y,N,,,,,,
Chuckwallas,,,Crackawalla Drinker,Y,Y,,,,,,
Chuckwallas,,,Chuck Spring,N,N,,historic sheep use,,,,
Chuckwallas,671585,3708625,Leg Bone,Y,N,,used by deer,,,,
