"","Date","Month","MtnRange","NumIndSheep","TotalNumSheep","Percentvisited","Meannumvisits","sd","year","yday","dayl..s.","prcp..mm.day.","srad..W.m.2.","swe..kg.m.2.","tmax..deg.c.","tmin..deg.c.","vp..Pa.","MeanNDVI"
"1",2019-05-17,"5","Marb",NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2019-05-18,"5","Marb",6,32,0.1875,0.1875,0.396557769456266,2019,138,50112,0,499.2000122,0,25.5,10.5,480,0.106075
"3",2019-05-19,"5","Marb",2,32,0.0625,0.0625,0.245934688418982,2019,139,50112,0,480,0,25,11,480,0.098809
"4",2019-05-20,"5","Marb",7,32,0.21875,0.25,0.508000508000762,2019,140,50112,0,460.7999878,0,23,10,440,0.110244
"5",2019-05-21,"5","Marb",4,32,0.125,0.21875,0.659147788019965,2019,141,50112,0,438.3999939,0,22.5,10.5,480,0.118357
"6",2019-05-22,"5","Marb",10,32,0.3125,0.3125,0.470929074859885,2019,142,50457.60156,0,300.7999878,0,18,10.5,480,0.028228
"7",2019-05-23,"5","Marb",NA,NA,NA,NA,NA,2019,143,50457.60156,0,406.3999939,0,19.5,9,400,0.026557
"9",2019-05-24,"5","Marb",5,32,0.15625,0.15625,0.368902032628474,2019,144,50457.60156,0,464,0,22.5,10,440,0.104746
"11",2019-05-25,"5","Marb",NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2019-05-26,"5","Marb",NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2019-05-27,"5","Marb",NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2019-05-28,"5","Marb",NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2019-05-29,"5","Marb",NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2019-05-30,"5","Marb",NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2019-05-31,"5","Marb",NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2019-06-01,"6","Marb",NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2019-06-02,"6","Marb",NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2019-06-03,"6","Marb",NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2019-06-04,"6","Marb",NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2019-06-05,"6","Marb",16,32,0.5,0.53125,0.567073699482846,2019,156,51148.80078,0,508.7999878,0,38.5,22.5,1040,0.108609
"37",2019-06-06,"6","Marb",14,32,0.4375,0.53125,0.671271062023142,2019,157,51148.80078,0,435.2000122,0,37.5,25,1240,0.115012
