"","Date","Month","MountainRange","NumIndSheep","TotalNumSheep","Percentvisited","Meannumvisits","sd","year","yday","dayl..s.","prcp..mm.day.","srad..W.m.2.","swe..kg.m.2.","tmax..deg.c.","tmin..deg.c.","vp..Pa.","MeanNDVI","Percentvisiteddist","NumIndVisits","scaledayl","scalesrad","scaletmax","scaletmin","scalevp","scalendvi"
"1",2019-05-17,"5","Marb",NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2019-05-18,"5","Marb",6,32,0.1875,0.1875,0.396557769456266,2019,138,50112,0,499.2000122,0,25.5,10.5,480,0.106075,1.1875,6,-0.51072118727313,0.705702194475366,-1.83408894718154,-2.29718324808198,-1.98305266407624,-0.0664063857265222
"3",2019-05-19,"5","Marb",2,32,0.0625,0.0625,0.245934688418982,2019,139,50112,0,480,0,25,11,480,0.098809,1.0625,2,-0.51072118727313,0.302443698401101,-1.92505362158612,-2.19146314295816,-1.98305266407624,-0.236268257291265
"4",2019-05-20,"5","Marb",7,32,0.21875,0.25,0.508000508000762,2019,140,50112,0,460.7999878,0,23,10,440,0.110244,1.21875,8,-0.51072118727313,-0.100814797673164,-2.28891231920444,-2.4029033532058,-2.12858172784134,0.0310549606199421
"5",2019-05-21,"5","Marb",4,32,0.125,0.21875,0.659147788019965,2019,141,50112,0,438.3999939,0,22.5,10.5,480,0.118357,1.125,7,-0.51072118727313,-0.571282616031461,-2.37987699360903,-2.29718324808198,-1.98305266407624,0.22071768619175
"6",2019-05-22,"5","Marb",10,32,0.3125,0.3125,0.470929074859885,2019,142,50457.60156,0,300.7999878,0,18,10.5,480,0.028228,1.3125,10,-0.1756218919914,-3.46130012965032,-3.19855906325026,-2.29718324808198,-1.98305266407624,-1.88628487673953
"7",2019-05-23,"5","Marb",NA,NA,NA,NA,NA,2019,143,50457.60156,0,406.3999939,0,19.5,9,400,0.026557,NA,NA,-0.1756218919914,-1.24337968242689,-2.92566504003652,-2.61434356345343,-2.27411079160643,-1.92534889922572
"9",2019-05-24,"5","Marb",5,32,0.15625,0.15625,0.368902032628474,2019,144,50457.60156,0,464,0,22.5,10,440,0.104746,1.15625,5,-0.1756218919914,-0.0336048347966141,-2.37987699360903,-2.4029033532058,-2.12858172784134,-0.0974752581886116
"11",2019-05-25,"5","Marb",NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2019-05-26,"5","Marb",NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2019-05-27,"5","Marb",NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2019-05-28,"5","Marb",NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2019-05-29,"5","Marb",NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2019-05-30,"5","Marb",NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2019-05-31,"5","Marb",NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2019-06-01,"6","Marb",NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2019-06-02,"6","Marb",NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2019-06-03,"6","Marb",NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2019-06-04,"6","Marb",NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2019-06-05,"6","Marb",16,32,0.5,0.53125,0.567073699482846,2019,156,51148.80078,0,508.7999878,0,38.5,22.5,1040,0.108609,1.5,17,0.494572917086656,0.907330801919982,0.530992587337588,0.240099274889633,0.0543542286351576,-0.00716746712687228
"37",2019-06-06,"6","Marb",14,32,0.4375,0.53125,0.671271062023142,2019,157,51148.80078,0,435.2000122,0,37.5,25,1240,0.115012,1.4375,17,0.494572917086656,-0.638491938315495,0.349063238528425,0.76869980050872,0.781999547460655,0.142519508324414
"41",2019-06-07,"6","Marb",14,32,0.4375,0.4375,0.504016128774185,2019,158,51148.80078,0,521.5999756,0,36.5,20,880,0.105015,1.4375,14,0.494572917086656,1.17616937224115,0.167133889719261,-0.288501250729453,-0.527762026425241,-0.0911866752749157
"45",2019-06-08,"6","Marb",14,32,0.4375,0.5,0.622171016838255,2019,159,51148.80078,0,537.5999756,0,36,18.5,800,0.120782,1.4375,16,0.494572917086656,1.51221790543886,0.0761692153146796,-0.605661566100905,-0.81882015395544,0.277408442941612
"49",2019-06-09,"6","Marb",17,32,0.53125,0.625,0.65991201759609,2019,160,51494.39844,0,460.7999878,0,34.5,21,960,0.102703,1.53125,20,0.829668430882988,-0.100814797673164,-0.196724807899066,-0.0770610404818183,-0.236703898895041,-0.145235759648393
"53",2019-06-10,"6","Marb",15,32,0.46875,0.53125,0.621360370217975,2019,161,51494.39844,0,512,0,37.5,21,960,0.081198,1.46875,17,0.829668430882988,0.974540764796532,0.349063238528425,-0.0770610404818183,-0.236703898895041,-0.647971728269337
"57",2019-06-11,"6","Marb",17,32,0.53125,0.59375,0.614836721047456,2019,162,51494.39844,0,473.6000061,0,37.5,23,1080,0.106395,1.53125,19,0.829668430882988,0.168024413240518,0.349063238528425,0.345819380013451,0.199883292400257,-0.0589255435987052
"61",2019-06-12,"6","Marb",NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",2019-06-13,"6","Marb",NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",2019-06-14,"6","Marb",NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",2019-06-15,"6","Marb",NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",2019-06-16,"6","Marb",NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",2019-06-17,"6","Marb",NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",2019-06-18,"6","Marb",NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",2019-06-19,"6","Marb",12,31,0.387096774193548,0.53125,0.879309663242118,2019,170,51494.39844,0,489.6000061,0,37.5,22,1000,0.109952,1.38709677419355,16.46875,0.829668430882988,0.504072946438233,0.349063238528425,0.134379169765816,-0.091174835129942,0.0242286921783092
"93",2019-06-20,"6","Marb",16,31,0.516129032258065,0.5625,0.618922059817739,2019,171,51494.39844,0,486.3999939,0,38.5,23,1080,0.106986,1.51612903225806,17.4375,0.829668430882988,0.436862983561685,0.530992587337588,0.345819380013451,0.199883292400257,-0.0451093632938936
"97",2019-06-21,"6","Marb",11,31,0.354838709677419,0.46875,0.76133901566529,2019,172,51494.39844,0,486.3999939,0,37,21.5,1000,0.105554,1.35483870967742,14.53125,0.829668430882988,0.436862983561685,0.258098564123843,0.0286590646419989,-0.091174835129942,-0.0785861318158742
"101",2019-06-22,"6","Marb",14,31,0.451612903225806,0.5,0.622171016838255,2019,173,51494.39844,0,457.6000061,0,34.5,20.5,920,0.112115,1.45161290322581,15.5,0.829668430882988,-0.168024119957198,-0.196724807899066,-0.182781145605636,-0.382232962660141,0.0747945094360217
"105",2019-06-23,"6","Marb",NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",2019-06-24,"6","Marb",NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",2019-06-25,"6","Marb",NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",2019-06-26,"6","Marb",16,31,0.516129032258065,0.625,0.707106781186548,2019,177,51494.39844,0,492.7999878,0,35.5,19.5,880,0.11176,1.51612903225806,19.375,0.829668430882988,0.571282268722267,-0.0147954590899021,-0.39422135585327,-0.527762026425241,0.0664954502004747
