"","ID","step","angle","x","y","step","angle","DeviceName","DeviceID","DateTimeGMT","DateTimeLocal","Altitude","FixStatus","DOP","TempC","MainV","BackV","Date","TimeLocal","MountainRange","BHSID","Sex","DateTimeLocalTest","DateTimeLocalTestct","IndPoint","positangle","positangledegree"
"48652","BHS_1736",0.0168829486282062,NA,-116.0927558,36.0351539,0.0168829486282062,2.43218888833994,"Nopa_1736E",90997,"06/07/2019 8:00","06/07/2019 0:00",1333.26,"3-D least-squares",2.2,23.5,0,0,"06/07/2019","12:00","Nopa",1736,"E",2019-06-07 00:00:00,2019-06-07 00:00:00,"BHS_1736 2019-06-07 00:00:00",NA,NA
"48876","BHS_1736",0.248073208780992,-2.28899991314645,-116.0926286,36.0352656,0.248073208780992,-2.28899991314645,"Nopa_1736E",90997,"06/07/2019 12:00","06/07/2019 4:00",1300.92,"4 or more SV KF",3.2,22,0,0,"06/07/2019","4:00","Nopa",1736,"E",2019-06-07 04:00:00,2019-06-07 04:00:00,"BHS_1736 2019-06-07 04:00:00",2.28899991314645,131.150034329103
"49089","BHS_1736",0.0835746377759407,-0.817392257218073,-116.0923369,36.0330425,0.0835746377759407,-0.817392257218073,"Nopa_1736E",90997,"06/07/2019 16:00","06/07/2019 8:00",1334.09,"4 or more SV KF",5.4,24,0,0,"06/07/2019","8:00","Nopa",1736,"E",2019-06-07 08:00:00,2019-06-07 08:00:00,"BHS_1736 2019-06-07 08:00:00",0.817392257218073,46.8331265452674
"49315","BHS_1736",0.00866860723303692,0.815374413242932,-116.0929422,36.0324719,0.00866860723303692,0.815374413242932,"Nopa_1736E",90997,"06/07/2019 20:01","06/07/2019 12:01",1358.25,"4 or more SV KF",1.6,30,0,0,"06/07/2019","12:01","Nopa",1736,"E",2019-06-07 12:01:00,2019-06-07 12:01:00,"BHS_1736 2019-06-07 12:01:00",0.815374413242932,46.7175126017759
"49511","BHS_1736",0.14434492723759,-1.55057214218674,-116.0929322,36.0323942,0.14434492723759,-1.55057214218674,"Nopa_1736E",90997,"06/08/2019 0:00","06/07/2019 16:00",1351.42,"4 or more SV KF",2,30.5,0,0,"06/07/2019","4:00","Nopa",1736,"E",2019-06-07 16:00:00,2019-06-07 16:00:00,"BHS_1736 2019-06-07 16:00:00",1.55057214218674,88.8412395778594
"49732","BHS_1736",0.00435258230938144,-1.31324031628913,-116.0945214,36.0322328,0.245586016903736,2.40254105696488,"Nopa_1736E",90997,"06/08/2019 4:00","06/07/2019 20:00",1359.06,"4 or more SV KF",3,24,0,0,"06/07/2019","8:00","Nopa",1736,"E",2019-06-07 20:00:00,2019-06-07 20:00:00,"BHS_1736 2019-06-07 20:00:00",1.31324031628913,75.2431276097926
"50365","BHS_1736",0.0494109633636486,-2.11763511221563,-116.0945394,36.0322692,0.0494109633636486,-1.51673299091721,"Nopa_1736E",90997,"06/08/2019 16:00","06/08/2019 8:00",1338.2,"4 or more SV KF",4.6,24,0,0,"06/08/2019","8:00","Nopa",1736,"E",2019-06-08 08:00:00,2019-06-08 08:00:00,"BHS_1736 2019-06-08 08:00:00",2.11763511221563,121.331554478668
"50588","BHS_1736",0.0159410814482124,-1.37592625070109,-116.0939986,36.0321961,0.0159410814482124,-1.37592625070109,"Nopa_1736E",90997,"06/08/2019 20:00","06/08/2019 12:00",1328.93,"4 or more SV KF",2.8,30,0,0,"06/08/2019","12:00","Nopa",1736,"E",2019-06-08 12:00:00,2019-06-08 12:00:00,"BHS_1736 2019-06-08 12:00:00",1.37592625070109,78.834767086432
"50785","BHS_1736",0.0457977298722504,-1.65118460716841,-116.0939933,36.0320525,0.0457977298722504,-1.65118460716841,"Nopa_1736E",90997,"06/09/2019 0:00","06/08/2019 16:00",1383.15,"4 or more SV KF",2.2,32.5,0,0,"06/08/2019","4:00","Nopa",1736,"E",2019-06-08 16:00:00,2019-06-08 16:00:00,"BHS_1736 2019-06-08 16:00:00",1.65118460716841,94.6059091877165
"51239","BHS_1736",0.0196904395608125,-1.0705219766646,-116.0945008,36.0320733,0.0196904395608125,-1.0705219766646,"Nopa_1736E",90997,"06/09/2019 8:01","06/09/2019 0:01",1334.05,"4 or more SV KF",2.8,25,0,0,"06/09/2019","12:01","Nopa",1736,"E",2019-06-09 00:01:00,2019-06-09 00:01:00,"BHS_1736 2019-06-09 00:01:00",1.0705219766646,61.3363911388837
