"","Date","Month","MtnRange","NumIndSheep","TotalNumSheep","Percentvisited","Meannumvisits","sd"
"1",2019-05-17,"5","Marb",NA,32,NA,NA,NA
"2",2019-05-18,"5","Marb",6,32,0.1875,0.1875,0.396557769456266
"4",2019-05-19,"5","Marb",2,32,0.0625,0.0625,0.245934688418982
"6",2019-05-20,"5","Marb",7,32,0.21875,0.25,0.508000508000762
"9",2019-05-21,"5","Marb",4,32,0.125,0.21875,0.659147788019965
"10",2019-05-22,"5","Marb",10,32,0.3125,0.3125,0.470929074859885
"13",2019-05-24,"5","Marb",5,32,0.15625,0.15625,0.368902032628474
"14",2019-05-25,"5","Marb",NA,32,NA,NA,NA
"15",2019-05-26,"5","Marb",NA,32,NA,NA,NA
"16",2019-05-27,"5","Marb",NA,32,NA,NA,NA
"17",2019-05-28,"5","Marb",NA,32,NA,NA,NA
"18",2019-05-29,"5","Marb",NA,32,NA,NA,NA
"19",2019-05-30,"5","Marb",NA,32,NA,NA,NA
"20",2019-05-31,"5","Marb",NA,32,NA,NA,NA
"21",2019-06-01,"6","Marb",NA,32,NA,NA,NA
"22",2019-06-02,"6","Marb",NA,32,NA,NA,NA
"23",2019-06-03,"6","Marb",NA,32,NA,NA,NA
"24",2019-06-04,"6","Marb",NA,32,NA,NA,NA
"25",2019-06-05,"6","Marb",16,32,0.5,0.53125,0.567073699482846
"27",2019-06-06,"6","Marb",14,32,0.4375,0.53125,0.671271062023142
"30",2019-06-07,"6","Marb",14,32,0.4375,0.4375,0.504016128774185
"32",2019-06-08,"6","Marb",14,32,0.4375,0.5,0.622171016838255
"34",2019-06-09,"6","Marb",17,32,0.53125,0.625,0.65991201759609
"35",2019-06-10,"6","Marb",15,32,0.46875,0.53125,0.621360370217975
"38",2019-06-11,"6","Marb",17,32,0.53125,0.59375,0.614836721047456
"39",2019-06-12,"6","Marb",NA,32,NA,NA,NA
"40",2019-06-13,"6","Marb",NA,31,NA,NA,NA
"41",2019-06-14,"6","Marb",NA,31,NA,NA,NA
"42",2019-06-15,"6","Marb",NA,31,NA,NA,NA
"43",2019-06-16,"6","Marb",NA,31,NA,NA,NA
"44",2019-06-17,"6","Marb",NA,31,NA,NA,NA
"45",2019-06-18,"6","Marb",NA,31,NA,NA,NA
"47",2019-06-19,"6","Marb",12,31,0.387096774193548,0.53125,0.879309663242118
"49",2019-06-20,"6","Marb",16,31,0.516129032258065,0.5625,0.618922059817739
"50",2019-06-21,"6","Marb",11,31,0.354838709677419,0.46875,0.76133901566529
"53",2019-06-22,"6","Marb",14,31,0.451612903225806,0.5,0.622171016838255
"54",2019-06-23,"6","Marb",NA,31,NA,NA,NA
"55",2019-06-24,"6","Marb",NA,31,NA,NA,NA
"56",2019-06-25,"6","Marb",NA,31,NA,NA,NA
"57",2019-06-26,"6","Marb",16,31,0.516129032258065,0.625,0.707106781186548
"60",2019-06-27,"6","Marb",11,31,0.354838709677419,0.375,0.553580719410662
"61",2019-06-28,"6","Marb",17,31,0.548387096774194,0.625,0.707106781186548
"63",2019-06-29,"6","Marb",14,31,0.451612903225806,0.53125,0.71771928199118
"65",2019-06-30,"6","Marb",NA,31,NA,NA,NA
"66",2019-07-01,"7","Marb",NA,31,NA,NA,NA
"67",2019-07-02,"7","Marb",NA,31,NA,NA,NA
"68",2019-07-03,"7","Marb",NA,31,NA,NA,NA
"69",2019-07-04,"7","Marb",NA,31,NA,NA,NA
"70",2019-07-05,"7","Marb",NA,31,NA,NA,NA
"71",2019-07-06,"7","Marb",NA,31,NA,NA,NA
"72",2019-07-07,"7","Marb",NA,31,NA,NA,NA
"73",2019-07-08,"7","Marb",NA,31,NA,NA,NA
"74",2019-07-09,"7","Marb",NA,31,NA,NA,NA
"75",2019-07-10,"7","Marb",NA,31,NA,NA,NA
"76",2019-07-11,"7","Marb",16,31,0.516129032258065,0.65625,0.745280852019624
"77",2019-07-12,"7","Marb",19,31,0.612903225806452,0.71875,0.683179237804942
"78",2019-07-13,"7","Marb",21,31,0.67741935483871,0.8125,0.737804065256947
"79",2019-07-14,"7","Marb",NA,31,NA,NA,NA
"80",2019-07-15,"7","Marb",NA,31,NA,NA,NA
"81",2019-07-16,"7","Marb",NA,31,NA,NA,NA
"82",2019-07-17,"7","Marb",NA,31,NA,NA,NA
"83",2019-07-18,"7","Marb",12,31,0.387096774193548,0.4375,0.618922059817739
"84",2019-07-19,"7","Marb",18,31,0.580645161290323,0.9375,1.0453429750488
"85",2019-07-20,"7","Marb",14,31,0.451612903225806,0.5625,0.759350316537635
"86",2019-07-21,"7","Marb",14,31,0.451612903225806,0.5,0.622171016838255
"87",2019-07-22,"7","Marb",19,31,0.612903225806452,0.78125,0.792479774851313
"88",2019-07-23,"7","Marb",12,31,0.387096774193548,0.5625,0.840026881290309
"89",2019-07-24,"7","Marb",21,31,0.67741935483871,0.8125,0.737804065256947
"90",2019-07-25,"7","Marb",NA,31,NA,NA,NA
"91",2019-07-26,"7","Marb",NA,31,NA,NA,NA
"92",2019-07-27,"7","Marb",NA,31,NA,NA,NA
"93",2019-07-28,"7","Marb",NA,31,NA,NA,NA
"94",2019-07-29,"7","Marb",NA,31,NA,NA,NA
"95",2019-07-30,"7","Marb",NA,31,NA,NA,NA
"96",2019-07-31,"7","Marb",NA,31,NA,NA,NA
"97",2019-08-01,"8","Marb",11,31,0.354838709677419,0.5625,1.0453429750488
"98",2019-08-02,"8","Marb",25,31,0.806451612903226,0.9375,0.669014682321166
"99",2019-08-03,"8","Marb",19,31,0.612903225806452,0.78125,0.832190075992645
"100",2019-08-04,"8","Marb",NA,31,NA,NA,NA
"101",2019-08-05,"8","Marb",NA,30,NA,NA,NA
"102",2019-08-06,"8","Marb",NA,30,NA,NA,NA
"103",2019-08-07,"8","Marb",16,30,0.533333333333333,0.71875,1.02341537620756
"104",2019-08-08,"8","Marb",16,30,0.533333333333333,0.625,0.751342883796911
"105",2019-08-09,"8","Marb",17,30,0.566666666666667,0.5625,0.564400909900732
"106",2019-08-10,"8","Marb",NA,30,NA,NA,NA
"107",2019-06-04,"6","BrsS",NA,24,NA,NA,NA
"108",2019-06-05,"6","BrsS",8,24,0.333333333333333,0.333333333333333,0.481543412343077
"109",2019-06-06,"6","BrsS",12,24,0.5,0.5,0.510753918455249
"110",2019-06-07,"6","BrsS",8,24,0.333333333333333,0.416666666666667,0.653862548158294
"111",2019-06-08,"6","BrsS",7,24,0.291666666666667,0.333333333333333,0.56465970257328
"112",2019-06-09,"6","BrsS",14,24,0.583333333333333,0.791666666666667,0.832970935693524
"113",2019-06-10,"6","BrsS",14,24,0.583333333333333,0.708333333333333,0.69025305168635
"114",2019-06-11,"6","BrsS",14,24,0.583333333333333,0.666666666666667,0.701964118163034
"115",2019-06-12,"6","BrsS",8,24,0.333333333333333,0.375,0.575779245136914
"116",2019-06-13,"6","BrsS",11,24,0.458333333333333,0.75,1.11316235778192
"117",2019-06-14,"6","BrsS",7,24,0.291666666666667,0.333333333333333,0.56465970257328
"118",2019-06-15,"6","BrsS",15,24,0.625,0.75,0.675663924692176
"119",2019-06-16,"6","BrsS",NA,24,NA,NA,NA
"120",2019-06-17,"6","BrsS",NA,24,NA,NA,NA
"121",2019-06-18,"6","BrsS",NA,24,NA,NA,NA
"122",2019-06-19,"6","BrsS",11,24,0.458333333333333,0.5,0.589767824619589
"123",2019-06-20,"6","BrsS",9,24,0.375,0.5,0.884651736929383
"124",2019-06-21,"6","BrsS",8,24,0.333333333333333,0.333333333333333,0.481543412343077
"125",2019-06-22,"6","BrsS",6,24,0.25,0.291666666666667,0.550032937090187
"126",2019-06-23,"6","BrsS",12,24,0.5,0.583333333333333,0.717281502356772
"127",2019-06-24,"6","BrsS",8,24,0.333333333333333,0.458333333333333,0.779027636204913
"128",2019-06-25,"6","BrsS",12,24,0.5,0.5,0.510753918455249
"129",2019-06-26,"6","BrsS",6,24,0.25,0.25,0.442325868464691
"130",2019-06-27,"6","BrsS",10,24,0.416666666666667,0.541666666666667,0.779027636204913
"131",2019-06-28,"6","BrsS",8,24,0.333333333333333,0.333333333333333,0.481543412343077
"132",2019-06-29,"6","BrsS",8,24,0.333333333333333,0.333333333333333,0.481543412343077
"133",2019-06-30,"6","BrsS",10,24,0.416666666666667,0.541666666666667,0.779027636204913
"134",2019-07-01,"7","BrsS",8,24,0.333333333333333,0.416666666666667,0.653862548158294
"135",2019-07-02,"7","BrsS",12,24,0.5,0.708333333333333,0.858672720295521
"136",2019-07-03,"7","BrsS",10,24,0.416666666666667,0.458333333333333,0.588229965875272
"137",2019-07-04,"7","BrsS",7,24,0.291666666666667,0.291666666666667,0.464305621487537
"138",2019-07-05,"7","BrsS",8,24,0.333333333333333,0.458333333333333,0.779027636204913
"139",2019-07-06,"7","BrsS",9,24,0.375,0.5,0.722315118514615
"140",2019-07-07,"7","BrsS",8,24,0.333333333333333,0.375,0.575779245136914
"141",2019-07-08,"7","BrsS",7,24,0.291666666666667,0.375,0.710939366337732
"142",2019-07-09,"7","BrsS",6,24,0.25,0.25,0.442325868464691
"143",2019-07-10,"7","BrsS",8,24,0.333333333333333,0.333333333333333,0.481543412343077
"144",2019-07-11,"7","BrsS",9,24,0.375,0.5,0.722315118514615
"145",2019-07-12,"7","BrsS",14,24,0.583333333333333,0.708333333333333,0.69025305168635
"146",2019-07-13,"7","BrsS",9,24,0.375,0.416666666666667,0.583592075121765
"147",2019-07-14,"7","BrsS",14,24,0.583333333333333,0.666666666666667,0.637022057270606
"148",2019-07-15,"7","BrsS",10,24,0.416666666666667,0.625,0.875388112682647
"149",2019-07-16,"7","BrsS",10,24,0.416666666666667,0.708333333333333,1.08263634211833
"150",2019-07-17,"7","BrsS",14,24,0.583333333333333,0.916666666666667,0.928611242975073
"151",2019-07-18,"7","BrsS",7,24,0.291666666666667,0.458333333333333,0.883627241233132
"152",2019-07-19,"7","BrsS",9,24,0.375,0.5,0.722315118514615
"153",2019-07-20,"7","BrsS",13,24,0.541666666666667,0.916666666666667,1.31601066028016
"154",2019-07-21,"7","BrsS",13,24,0.541666666666667,0.833333333333333,0.963086824686154
"155",2019-07-22,"7","BrsS",13,24,0.541666666666667,0.583333333333333,0.583592075121765
"156",2019-07-23,"7","BrsS",9,24,0.375,0.5,0.884651736929383
"157",2019-07-24,"7","BrsS",9,24,0.375,0.416666666666667,0.583592075121765
"158",2019-07-25,"7","BrsS",15,24,0.625,0.958333333333333,1.08263634211833
"159",2019-07-26,"7","BrsS",16,24,0.666666666666667,0.916666666666667,0.880546602310508
"160",2019-07-27,"7","BrsS",11,24,0.458333333333333,0.666666666666667,0.816496580927726
"161",2019-07-28,"7","BrsS",17,24,0.708333333333333,1,0.932504808240314
"162",2019-07-29,"7","BrsS",NA,24,NA,NA,NA
"163",2019-07-30,"7","BrsS",NA,24,NA,NA,NA
"164",2019-07-31,"7","BrsS",NA,24,NA,NA,NA
"165",2019-08-01,"8","BrsS",NA,24,NA,NA,NA
"166",2019-08-02,"8","BrsS",12,24,0.5,0.75,0.896854406292881
"167",2019-08-03,"8","BrsS",17,24,0.708333333333333,0.958333333333333,0.806450444131925
"168",2019-08-04,"8","BrsS",16,24,0.666666666666667,1.29166666666667,1.19706767331373
"169",2019-08-05,"8","BrsS",18,24,0.75,1,0.834057656228299
"170",2019-08-06,"8","BrsS",7,24,0.291666666666667,0.583333333333333,1.10006587418037
"171",2019-08-07,"8","BrsS",13,24,0.541666666666667,0.708333333333333,0.750603621828092
